"...1","X","address","nhood","lat","long","month","year","block","street_name","street_type","centroid_lat","centroid_long","year_nhood","month_year_nhood","dummy"
378,604,"0 Block Of Beatrice  Lane","Bayview Hunters Point",37.7315460298977,-122.381306115965,4,2013,0,"Beatrice","Lane",37.730696,-122.388515,"2013 Bayview Hunters Point","4 2013 Bayview Hunters Point",1
379,605,"400 Block Of Ellis  Street","Tenderloin",37.7847531551863,-122.413604475311,6,2018,400,"Ellis","Street",37.784141,-122.414748,"2018 Tenderloin","6 2018 Tenderloin",1
380,606,"2800 Block Of 23rd  Street","Mission",37.7543695201044,-122.409736642115,12,2013,2800,"23rd","Street",37.758338,-122.414678,"2013 Mission","12 2013 Mission",1
381,607,"800 Block Of Leavenworth  Street","Nob Hill",37.7888538890454,-122.415278595219,9,2017,800,"Leavenworth","Street",37.793044,-122.414461,"2017 Nob Hill","9 2017 Nob Hill",1
382,609,"200 Block Of Leland  Avenue","Visitacion Valley",37.7126805009553,-122.40784092134,4,2012,200,"Leland","Avenue",37.713141,-122.408825,"2012 Visitacion Valley","4 2012 Visitacion Valley",1
383,610,"400 Block Of Ofarrell  Street","Tenderloin",37.7859445814449,-122.411736546098,8,2016,400,"Ofarrell","Street",37.784141,-122.414748,"2016 Tenderloin","8 2016 Tenderloin",1
384,612,"100 Block Of Lucky  Street","Mission",37.7501371606654,-122.413288699241,11,2012,100,"Lucky","Street",37.758338,-122.414678,"2012 Mission","11 2012 Mission",1
385,613,"100 Block Of 06th  Street","Financial District/South Beach/SOMA",37.7799504658727,-122.407425451986,9,2016,100,"06th","Street",37.779527,-122.405727,"2016 South of Market","9 2016 South of Market",1
386,614,"800 Block Of 48th  Avenue","Outer Richmond",37.772377252979,-122.508890519962,6,2013,800,"48th","Avenue",37.776683,-122.489908,"2013 Outer Richmond","6 2013 Outer Richmond",1
387,615,"1300 Block Of Hyde  Street","Russian Hill",37.7932437133097,-122.417847438838,7,2014,1300,"Hyde","Street",37.800432,-122.417609,"2014 Russian Hill","7 2014 Russian Hill",1
388,616,"200 Block Of Leavenworth  Street","Tenderloin",NA,NA,1,2015,200,"Leavenworth","Street",37.784141,-122.414748,"2015 Tenderloin","1 2015 Tenderloin",1
389,617,"0 Block Of 06th  Street","Financial District/South Beach/SOMA",37.7815762298949,-122.409469352714,8,2014,0,"06th","Street",37.779527,-122.405727,"2014 South of Market","8 2014 South of Market",1
390,619,"0 Block Of Chumasero  Drive","Lakeshore",37.7132784582678,-122.472924130809,3,2013,0,"Chumasero","Drive",37.71872,-122.477916,"2013 Lakeshore","3 2013 Lakeshore",1
391,620,"100 Block Of Portola  Drive","Glen Park/Noe Valley",37.748473813226,-122.444213475883,8,2015,100,"Portola","Drive",37.747095,-122.431421,"2015 Noe Valley","8 2015 Noe Valley",1
392,621,"1000 Block Of Post  Street","Tenderloin",37.7869327392576,-122.419099466609,1,2013,1000,"Post","Street",37.784141,-122.414748,"2013 Tenderloin","1 2013 Tenderloin",1
393,622,"100 Block Of Sadowa  Street","Oceanview/Merced/Ingleside",37.7123076985909,-122.457530275347,12,2016,100,"Sadowa","Street",37.718959,-122.462039,"2016 Oceanview/Merced/Ingleside","12 2016 Oceanview/Merced/Ingleside",1
394,623,"200 Block Of 25th  Avenue","Outer Richmond",37.7848141216698,-122.485079439334,12,2014,200,"25th","Avenue",37.776683,-122.489908,"2014 Outer Richmond","12 2014 Outer Richmond",1
395,625,"1400 Block Of Greenwich  Street","Russian Hill",NA,NA,2,2012,1400,"Greenwich","Street",37.800432,-122.417609,"2012 Russian Hill","2 2012 Russian Hill",1
396,626,"2500 Block Of Sacramento  Street","Pacific Heights",37.7897331169777,-122.434850185657,7,2018,2500,"Sacramento","Street",37.792182,-122.432784,"2018 Pacific Heights","7 2018 Pacific Heights",1
397,627,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,8,2016,1300,"Market","Street",37.784141,-122.414748,"2016 Tenderloin","8 2016 Tenderloin",1
398,628,"1200 Block Of Hill  Street","Mission",37.7560363929113,-122.422127840498,10,2013,1200,"Hill","Street",37.758338,-122.414678,"2013 Mission","10 2013 Mission",1
399,629,"0 Block Of Beverly  Street","Oceanview/Merced/Ingleside",37.7169984366376,-122.471623256649,6,2014,0,"Beverly","Street",37.718959,-122.462039,"2014 Oceanview/Merced/Ingleside","6 2014 Oceanview/Merced/Ingleside",1
400,632,"500 Block Of Capp  Street","Mission",37.7578996028686,-122.417888302701,1,2013,500,"Capp","Street",37.758338,-122.414678,"2013 Mission","1 2013 Mission",1
401,634,"600 Block Of 35th  Avenue","Outer Richmond",37.7767450079432,-122.495242644471,3,2016,600,"35th","Avenue",37.776683,-122.489908,"2016 Outer Richmond","3 2016 Outer Richmond",1
402,636,"900 Block Of Capp  Street","Mission",37.7515055817514,-122.417279362005,8,2013,900,"Capp","Street",37.758338,-122.414678,"2013 Mission","8 2013 Mission",1
403,637,"0 Block Of Hoff  Street","Mission",37.7641859120938,-122.420506713085,7,2014,0,"Hoff","Street",37.758338,-122.414678,"2014 Mission","7 2014 Mission",1
404,641,"1000 Block Of Howard  Street","Financial District/South Beach/SOMA",37.7795286830571,-122.407425286647,5,2017,1000,"Howard","Street",37.779527,-122.405727,"2017 South of Market","5 2017 South of Market",1
405,642,"100 Block Of Broad  Street","Oceanview/Merced/Ingleside",37.7131828153938,-122.457538740159,7,2015,100,"Broad","Street",37.718959,-122.462039,"2015 Oceanview/Merced/Ingleside","7 2015 Oceanview/Merced/Ingleside",1
406,645,"1900 Block Of Ellis  Street","Western Addition",37.7816741460122,-122.437858977164,4,2015,1900,"Ellis","Street",37.780587,-122.43451,"2015 Western Addition","4 2015 Western Addition",1
407,647,"0 Block Of Ridgewood  Avenue","West of Twin Peaks",37.7302543157683,-122.453401427582,12,2012,0,"Ridgewood","Avenue",37.737955,-122.460363,"2012 West of Twin Peaks","12 2012 West of Twin Peaks",1
408,649,"2000 Block Of California  Street","Pacific Heights",37.7896383026327,-122.428082860506,8,2014,2000,"California","Street",37.792182,-122.432784,"2014 Pacific Heights","8 2014 Pacific Heights",1
409,651,"1600 Block Of Powell  Street","Chinatown",37.7997710057121,-122.410738956676,4,2015,1600,"Powell","Street",37.795073,-122.40635,"2015 Chinatown","4 2015 Chinatown",1
410,652,"100 Block Of Campbell  Avenue","Visitacion Valley",37.7149852381534,-122.401100102499,5,2015,100,"Campbell","Avenue",37.713141,-122.408825,"2015 Visitacion Valley","5 2015 Visitacion Valley",1
411,653,"200 Block Of Vienna  Street","Excelsior/Outer Mission",37.724371075389,-122.427492866299,3,2012,200,"Vienna","Street",37.7223,-122.431224,"2012 Excelsior","3 2012 Excelsior",1
412,654,"0 Block Of Houston  Street","Russian Hill",37.8038647836074,-122.416023483593,4,2018,0,"Houston","Street",37.800432,-122.417609,"2018 Russian Hill","4 2018 Russian Hill",1
413,657,"2700 Block Of 20th  Street","Mission",37.7592759094237,-122.408421876425,6,2015,2700,"20th","Street",37.758338,-122.414678,"2015 Mission","6 2015 Mission",1
414,659,"3400 Block Of Broderick  Street","Marina",37.8020938987085,-122.444987254162,11,2013,3400,"Broderick","Street",37.802877,-122.436969,"2013 Marina","11 2013 Marina",1
415,661,"1300 Block Of California  Street","Nob Hill",37.7910647332606,-122.416745829677,11,2011,1300,"California","Street",37.793044,-122.414461,"2011 Nob Hill","11 2011 Nob Hill",1
416,662,"100 Block Of Lexington  Street","Mission",37.7609475242044,-122.420736134216,10,2017,100,"Lexington","Street",37.758338,-122.414678,"2017 Mission","10 2017 Mission",1
417,663,"300 Block Of Moultrie  Street","Bernal Heights",37.7397043750927,-122.415843686917,7,2018,300,"Moultrie","Street",37.741391,-122.414033,"2018 Bernal Heights","7 2018 Bernal Heights",1
418,664,"1700 Block Of Quesada  Avenue","Bayview Hunters Point",37.7337785859693,-122.392333117019,12,2016,1700,"Quesada","Avenue",37.730696,-122.388515,"2016 Bayview Hunters Point","12 2016 Bayview Hunters Point",1
419,666,"1900 Block Of Green  Street","Marina",37.796679008909,-122.431193236798,8,2013,1900,"Green","Street",37.802877,-122.436969,"2013 Marina","8 2013 Marina",1
420,667,"2100 Block Of 41st  Avenue","Sunset/Parkside",37.7466718412832,-122.499589789897,8,2014,2100,"41st","Avenue",37.749026,-122.493742,"2014 Sunset/Parkside","8 2014 Sunset/Parkside",1
421,668,"1000 Block Of Mission  Street","Financial District/South Beach/SOMA",37.7800914388321,-122.409822637722,2,2013,1000,"Mission","Street",37.779527,-122.405727,"2013 South of Market","2 2013 South of Market",1
422,669,"1700 Block Of Quesada  Avenue","Bayview Hunters Point",37.7337785859693,-122.392333117019,8,2015,1700,"Quesada","Avenue",37.730696,-122.388515,"2015 Bayview Hunters Point","8 2015 Bayview Hunters Point",1
423,670,"0 Block Of Wawona  Street","West of Twin Peaks",37.7424513877741,-122.466284243934,9,2013,0,"Wawona","Street",37.737955,-122.460363,"2013 West of Twin Peaks","9 2013 West of Twin Peaks",1
424,671,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,4,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","4 2018 Tenderloin",1
425,672,"0 Block Of Bucareli  Drive","Lakeshore",37.7174224798408,-122.479327322035,11,2017,0,"Bucareli","Drive",37.71872,-122.477916,"2017 Lakeshore","11 2017 Lakeshore",1
426,675,"500 Block Of Lombard  Street","North Beach",37.8031997226407,-122.410048292241,4,2013,500,"Lombard","Street",37.799254,-122.407458,"2013 North Beach","4 2013 North Beach",1
427,676,"600 Block Of France  Avenue","Excelsior/Outer Mission",37.7175520644135,-122.433154628292,1,2013,600,"France","Avenue",37.7223,-122.431224,"2013 Excelsior","1 2013 Excelsior",1
428,677,"100 Block Of Font  Boulevard","Lakeshore",37.7155014475134,-122.473671964909,3,2015,100,"Font","Boulevard",37.71872,-122.477916,"2015 Lakeshore","3 2015 Lakeshore",1
429,678,"1300 Block Of 47th  Avenue","Sunset/Parkside",37.7613073333306,-122.507064701489,1,2015,1300,"47th","Avenue",37.749026,-122.493742,"2015 Sunset/Parkside","1 2015 Sunset/Parkside",1
430,679,"2300 Block Of Bush  Street","Pacific Heights",37.7867057925361,-122.435926161168,4,2016,2300,"Bush","Street",37.792182,-122.432784,"2016 Pacific Heights","4 2016 Pacific Heights",1
431,682,"500 Block Of Grove  Street","Haight Ashbury/Hayes Valley",37.7774950300082,-122.425630560045,9,2016,500,"Grove","Street",37.776425,-122.426235,"2016 Hayes Valley","9 2016 Hayes Valley",1
432,684,"1500 Block Of Fulton  Street","Lone Mountain/USF",37.7763305382556,-122.442310390464,1,2018,1500,"Fulton","Street",37.777975,-122.452816,"2018 Lone Mountain/USF","1 2018 Lone Mountain/USF",1
433,685,"200 Block Of Prentiss  Street","Bernal Heights",37.7399352776115,-122.412084936943,12,2017,200,"Prentiss","Street",37.741391,-122.414033,"2017 Bernal Heights","12 2017 Bernal Heights",1
434,687,"1300 Block Of 19th  Street","Potrero Hill",37.7613294915857,-122.395921568572,7,2017,1300,"19th","Street",37.759056,-122.398618,"2017 Potrero Hill","7 2017 Potrero Hill",1
435,688,"400 Block Of Garces  Drive","Lakeshore",37.7162668367529,-122.483885040666,1,2013,400,"Garces","Drive",37.71872,-122.477916,"2013 Lakeshore","1 2013 Lakeshore",1
436,689,"200 Block Of Garces  Drive","Lakeshore",37.7155906684351,-122.480812989689,3,2015,200,"Garces","Drive",37.71872,-122.477916,"2015 Lakeshore","3 2015 Lakeshore",1
437,690,"200 Block Of Guerrero  Street","Mission",37.7672032067639,-122.424383091879,4,2017,200,"Guerrero","Street",37.758338,-122.414678,"2017 Mission","4 2017 Mission",1
438,691,"2400 Block Of 41st  Avenue","Sunset/Parkside",37.7410753250345,-122.499196787284,5,2017,2400,"41st","Avenue",37.749026,-122.493742,"2017 Sunset/Parkside","5 2017 Sunset/Parkside",1
439,692,"2300 Block Of California  Street","Pacific Heights",37.7889584759544,-122.433429277761,7,2014,2300,"California","Street",37.792182,-122.432784,"2014 Pacific Heights","7 2014 Pacific Heights",1
440,693,"1100 Block Of Jackson  Street","Nob Hill",37.7950929886775,-122.414006703458,6,2016,1100,"Jackson","Street",37.793044,-122.414461,"2016 Nob Hill","6 2016 Nob Hill",1
441,694,"200 Block Of 14th  Street","Mission",37.7682965024476,-122.419603223839,3,2015,200,"14th","Street",37.758338,-122.414678,"2015 Mission","3 2015 Mission",1
442,696,"1800 Block Of 39th  Avenue","Sunset/Parkside",37.75236100511,-122.497836469413,7,2014,1800,"39th","Avenue",37.749026,-122.493742,"2014 Sunset/Parkside","7 2014 Sunset/Parkside",1
443,699,"6800 Block Of Geary  Boulevard","Outer Richmond",37.7796540476842,-122.492757173715,3,2016,6800,"Geary","Boulevard",37.776683,-122.489908,"2016 Outer Richmond","3 2016 Outer Richmond",1
444,700,"1800 Block Of Powell  Street","North Beach",37.8016352375529,-122.411110554949,10,2016,1800,"Powell","Street",37.799254,-122.407458,"2016 North Beach","10 2016 North Beach",1
445,701,"4400 Block Of 23rd  Street","Glen Park/Noe Valley",37.7524391229515,-122.441649105163,7,2014,4400,"23rd","Street",37.747095,-122.431421,"2014 Noe Valley","7 2014 Noe Valley",1
446,702,"2000 Block Of Polk  Street","Russian Hill",37.7954863739253,-122.421675461222,11,2017,2000,"Polk","Street",37.800432,-122.417609,"2017 Russian Hill","11 2017 Russian Hill",1
447,703,"800 Block Of Guerrero  Street","Mission",37.7579664371705,-122.423490867164,9,2012,800,"Guerrero","Street",37.758338,-122.414678,"2012 Mission","9 2012 Mission",1
448,704,"0 Block Of Whitney  Street","Glen Park/Noe Valley",37.7408419227601,-122.427765805325,4,2013,0,"Whitney","Street",37.735976,-122.434464,"2013 Glen Park","4 2013 Glen Park",1
449,705,"400 Block Of Gonzalez  Drive","Lakeshore",37.7161670133475,-122.476535967917,9,2018,400,"Gonzalez","Drive",37.71872,-122.477916,"2018 Lakeshore","9 2018 Lakeshore",1
450,707,"100 Block Of College  Avenue","Bernal Heights",37.7354030452864,-122.426487813121,3,2015,100,"College","Avenue",37.741391,-122.414033,"2015 Bernal Heights","3 2015 Bernal Heights",1
451,708,"1100 Block Of Naples  Street","Excelsior/Outer Mission",37.7129616025416,-122.437063856067,12,2015,1100,"Naples","Street",37.7223,-122.431224,"2015 Excelsior","12 2015 Excelsior",1
452,710,"0 Block Of Badger  Street","Excelsior/Outer Mission",37.7307040220578,-122.434016438477,3,2012,0,"Badger","Street",37.709585,-122.455082,"2012 Outer Mission","3 2012 Outer Mission",1
453,711,"1600 Block Of Palou  Avenue","Bayview Hunters Point",37.7345259917016,-122.391871904811,5,2014,1600,"Palou","Avenue",37.730696,-122.388515,"2014 Bayview Hunters Point","5 2014 Bayview Hunters Point",1
454,712,"300 Block Of Vernon  Street","Oceanview/Merced/Ingleside",37.7187827931322,-122.468044276052,10,2016,300,"Vernon","Street",37.718959,-122.462039,"2016 Oceanview/Merced/Ingleside","10 2016 Oceanview/Merced/Ingleside",1
455,718,"300 Block Of Arleta  Avenue","Visitacion Valley",37.7147681160124,-122.409960161204,6,2015,300,"Arleta","Avenue",37.713141,-122.408825,"2015 Visitacion Valley","6 2015 Visitacion Valley",1
456,720,"300 Block Of Union  Street","North Beach",37.8008841259847,-122.405631982583,12,2018,300,"Union","Street",37.799254,-122.407458,"2018 North Beach","12 2018 North Beach",1
457,721,"1100 Block Of De Haro  Street","Potrero Hill",37.7559067370679,-122.400747610896,10,2014,1100,"De Haro","Street",37.759056,-122.398618,"2014 Potrero Hill","10 2014 Potrero Hill",1
458,722,"3400 Block Of Mission  Street","Bernal Heights",37.7413939494645,-122.422603520782,7,2017,3400,"Mission","Street",37.741391,-122.414033,"2017 Bernal Heights","7 2017 Bernal Heights",1
459,723,"500 Block Of 42nd  Avenue","Outer Richmond",37.7782967337755,-122.502876602627,1,2017,500,"42nd","Avenue",37.776683,-122.489908,"2017 Outer Richmond","1 2017 Outer Richmond",1
460,724,"100 Block Of Whipple  Avenue","Excelsior/Outer Mission",37.7119002813515,-122.44910807125,8,2015,100,"Whipple","Avenue",37.709585,-122.455082,"2015 Outer Mission","8 2015 Outer Mission",1
461,726,"1400 Block Of Sacramento  Street","Nob Hill",37.7920052872727,-122.416936437462,9,2016,1400,"Sacramento","Street",37.793044,-122.414461,"2016 Nob Hill","9 2016 Nob Hill",1
462,727,"1100 Block Of Jamestown  Avenue","Bayview Hunters Point",37.7198945115206,-122.396024249144,11,2012,1100,"Jamestown","Avenue",37.730696,-122.388515,"2012 Bayview Hunters Point","11 2012 Bayview Hunters Point",1
463,728,"700 Block Of Monterey  Boulevard","West of Twin Peaks",37.7315690074917,-122.452277921091,12,2012,700,"Monterey","Boulevard",37.737955,-122.460363,"2012 West of Twin Peaks","12 2012 West of Twin Peaks",1
464,729,"1400 Block Of Montgomery  Street","North Beach",37.8024455554341,-122.404652708094,5,2013,1400,"Montgomery","Street",37.799254,-122.407458,"2013 North Beach","5 2013 North Beach",1
465,730,"1500 Block Of Shafter  Avenue","Bayview Hunters Point",37.7305087868314,-122.389791094138,6,2016,1500,"Shafter","Avenue",37.730696,-122.388515,"2016 Bayview Hunters Point","6 2016 Bayview Hunters Point",1
466,731,"400 Block Of Lombard  Street","North Beach",37.8033346476773,-122.408947632274,8,2014,400,"Lombard","Street",37.799254,-122.407458,"2014 North Beach","8 2014 North Beach",1
467,732,"3000 Block Of Cesar Chavez  Street","Bernal Heights",37.7483724549848,-122.410097721348,9,2012,3000,"Cesar Chavez","Street",37.741391,-122.414033,"2012 Bernal Heights","9 2012 Bernal Heights",1
468,733,"2200 Block Of Kirkham  Street","Sunset/Parkside",37.7594775619721,-122.484901262012,1,2016,2200,"Kirkham","Street",37.749026,-122.493742,"2016 Sunset/Parkside","1 2016 Sunset/Parkside",1
469,734,"1000 Block Of Market  Street","Tenderloin",37.7817226609822,-122.411009359014,3,2013,1000,"Market","Street",37.784141,-122.414748,"2013 Tenderloin","3 2013 Tenderloin",1
470,738,"1700 Block Of Grove  Street","Lone Mountain/USF",37.7749785967877,-122.445438268307,9,2015,1700,"Grove","Street",37.777975,-122.452816,"2015 Lone Mountain/USF","9 2015 Lone Mountain/USF",1
471,739,"1300 Block Of 16th  Avenue","Inner Sunset",37.7627720965923,-122.473847973784,12,2013,1300,"16th","Avenue",37.762068,-122.467189,"2013 Inner Sunset","12 2013 Inner Sunset",1
472,740,"2000 Block Of California  Street","Pacific Heights",NA,NA,12,2016,2000,"California","Street",37.792182,-122.432784,"2016 Pacific Heights","12 2016 Pacific Heights",1
473,741,"0 Block Of Iris  Avenue","Presidio Heights",37.7849965894335,-122.452011201849,11,2015,0,"Iris","Avenue",37.788849,-122.452228,"2015 Presidio Heights","11 2015 Presidio Heights",1
474,742,"300 Block Of Bartlett  Street","Mission",37.7513720107988,-122.419478523553,3,2014,300,"Bartlett","Street",37.758338,-122.414678,"2014 Mission","3 2014 Mission",1
475,743,"600 Block Of Gonzalez  Drive","Lakeshore",37.716633441354,-122.479611836898,8,2016,600,"Gonzalez","Drive",37.71872,-122.477916,"2016 Lakeshore","8 2016 Lakeshore",1
476,744,"2100 Block Of Mission  Street","Mission",37.7622743617275,-122.419401502421,3,2013,2100,"Mission","Street",37.758338,-122.414678,"2013 Mission","3 2013 Mission",1
477,746,"100 Block Of Leland  Avenue","Visitacion Valley",37.7121081124015,-122.406080364259,9,2016,100,"Leland","Avenue",37.713141,-122.408825,"2016 Visitacion Valley","9 2016 Visitacion Valley",1
478,747,"3300 Block Of Octavia  Street","Marina",37.8030505737563,-122.429950200459,10,2017,3300,"Octavia","Street",37.802877,-122.436969,"2017 Marina","10 2017 Marina",1
479,748,"200 Block Of Brighton  Avenue","Oceanview/Merced/Ingleside",37.7227604885313,-122.455131343314,7,2014,200,"Brighton","Avenue",37.718959,-122.462039,"2014 Oceanview/Merced/Ingleside","7 2014 Oceanview/Merced/Ingleside",1
480,750,"1400 Block Of Underwood  Avenue","Bayview Hunters Point",37.7281974358752,-122.389045624654,9,2016,1400,"Underwood","Avenue",37.730696,-122.388515,"2016 Bayview Hunters Point","9 2016 Bayview Hunters Point",1
481,752,"200 Block Of 26th  Avenue","Outer Richmond",37.784765303892,-122.486156248482,6,2018,200,"26th","Avenue",37.776683,-122.489908,"2018 Outer Richmond","6 2018 Outer Richmond",1
482,753,"200 Block Of Font  Boulevard","Lakeshore",37.7162927222064,-122.475228742305,1,2013,200,"Font","Boulevard",37.71872,-122.477916,"2013 Lakeshore","1 2013 Lakeshore",1
483,756,"700 Block Of Polk  Street","Tenderloin",37.7833345920175,-122.419227569478,5,2012,700,"Polk","Street",37.784141,-122.414748,"2012 Tenderloin","5 2012 Tenderloin",1
484,759,"700 Block Of Edinburgh  Street","Excelsior/Outer Mission",37.7173480830762,-122.434942880568,10,2014,700,"Edinburgh","Street",37.7223,-122.431224,"2014 Excelsior","10 2014 Excelsior",1
485,760,"1600 Block Of Market  Street","Mission",37.7727338684288,-122.422236931126,5,2018,1600,"Market","Street",37.758338,-122.414678,"2018 Mission","5 2018 Mission",1
486,761,"1200 Block Of 42nd  Avenue","Sunset/Parkside",37.7634177239429,-122.501835618654,11,2011,1200,"42nd","Avenue",37.749026,-122.493742,"2011 Sunset/Parkside","11 2011 Sunset/Parkside",1
487,762,"3000 Block Of 21st  Street","Mission",37.7571995283493,-122.416172897008,9,2015,3000,"21st","Street",37.758338,-122.414678,"2015 Mission","9 2015 Mission",1
488,763,"1300 Block Of Palou  Avenue","Bayview Hunters Point",37.7313241467407,-122.38622674846,3,2017,1300,"Palou","Avenue",37.730696,-122.388515,"2017 Bayview Hunters Point","3 2017 Bayview Hunters Point",1
489,764,"3100 Block Of 16th  Street","Mission",37.7648133770633,-122.423607554286,4,2017,3100,"16th","Street",37.758338,-122.414678,"2017 Mission","4 2017 Mission",1
490,765,"1400 Block Of Revere  Avenue","Bayview Hunters Point",NA,NA,3,2015,1400,"Revere","Avenue",37.730696,-122.388515,"2015 Bayview Hunters Point","3 2015 Bayview Hunters Point",1
491,766,"1700 Block Of 15th  Street","Mission",37.7664352817948,-122.423769785461,3,2013,1700,"15th","Street",37.758338,-122.414678,"2013 Mission","3 2013 Mission",1
492,768,"6200 Block Of 03rd  Street","Bayview Hunters Point",37.7213646318521,-122.396169371206,9,2014,6200,"03rd","Street",37.730696,-122.388515,"2014 Bayview Hunters Point","9 2014 Bayview Hunters Point",1
493,769,"100 Block Of Seal Rock  Drive","Outer Richmond",37.7806738770794,-122.50888552543,10,2014,100,"Seal Rock","Drive",37.776683,-122.489908,"2014 Outer Richmond","10 2014 Outer Richmond",1
494,771,"200 Block Of Garces  Drive","Lakeshore",37.7155906684351,-122.480812989689,4,2014,200,"Garces","Drive",37.71872,-122.477916,"2014 Lakeshore","4 2014 Lakeshore",1
495,772,"0 Block Of Chumasero  Drive","Lakeshore",37.7132784582678,-122.472924130809,8,2013,0,"Chumasero","Drive",37.71872,-122.477916,"2013 Lakeshore","8 2013 Lakeshore",1
496,773,"1400 Block Of 31st  Avenue","Sunset/Parkside",37.7601994513352,-122.489787727774,7,2015,1400,"31st","Avenue",37.749026,-122.493742,"2015 Sunset/Parkside","7 2015 Sunset/Parkside",1
497,774,"200 Block Of Silver  Avenue","Excelsior/Outer Mission",37.7295225197291,-122.432856559914,9,2016,200,"Silver","Avenue",37.709585,-122.455082,"2016 Outer Mission","9 2016 Outer Mission",1
498,775,"1100 Block Of Mission  Street","Financial District/South Beach/SOMA",37.7777513747528,-122.412785519962,5,2018,1100,"Mission","Street",37.779527,-122.405727,"2018 South of Market","5 2018 South of Market",1
499,776,"100 Block Of Del Monte  Street","Excelsior/Outer Mission",37.7150248000864,-122.444365308166,7,2014,100,"Del Monte","Street",37.709585,-122.455082,"2014 Outer Mission","7 2014 Outer Mission",1
500,778,"0 Block Of Sycamore  Street","Mission",37.7626895928322,-122.419829068976,2,2017,0,"Sycamore","Street",37.758338,-122.414678,"2017 Mission","2 2017 Mission",1
501,780,"1300 Block Of Balboa  Street","Outer Richmond",37.7768183658638,-122.473134895683,1,2015,1300,"Balboa","Street",37.776683,-122.489908,"2015 Outer Richmond","1 2015 Outer Richmond",1
502,781,"2300 Block Of Bryant  Street","Mission",37.7567946775261,-122.409524293361,5,2017,2300,"Bryant","Street",37.758338,-122.414678,"2017 Mission","5 2017 Mission",1
503,782,"700 Block Of Ellis  Street","Tenderloin",37.7841324294373,-122.418535460255,12,2016,700,"Ellis","Street",37.784141,-122.414748,"2016 Tenderloin","12 2016 Tenderloin",1
504,783,"200 Block Of Cornwall  Street","Inner Richmond",37.7849318715232,-122.461876347812,11,2018,200,"Cornwall","Street",37.778849,-122.468955,"2018 Inner Richmond","11 2018 Inner Richmond",1
505,784,"700 Block Of 20th  Avenue","Outer Richmond",37.7737478340675,-122.478904323129,4,2016,700,"20th","Avenue",37.776683,-122.489908,"2016 Outer Richmond","4 2016 Outer Richmond",1
506,785,"0 Block Of Teddy  Avenue","Visitacion Valley",37.7133813881678,-122.403282805583,6,2016,0,"Teddy","Avenue",37.713141,-122.408825,"2016 Visitacion Valley","6 2016 Visitacion Valley",1
507,786,"100 Block Of Font  Boulevard","Lakeshore",37.7154058689184,-122.473765085781,3,2017,100,"Font","Boulevard",37.71872,-122.477916,"2017 Lakeshore","3 2017 Lakeshore",1
508,787,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,9,2015,1300,"Market","Street",37.784141,-122.414748,"2015 Tenderloin","9 2015 Tenderloin",1
509,788,"0 Block Of Byron  Court","Excelsior/Outer Mission",37.7095307799467,-122.444399883626,2,2014,0,"Byron","Court",37.7223,-122.431224,"2014 Excelsior","2 2014 Excelsior",1
510,789,"600 Block Of 39th  Avenue","Outer Richmond",37.7765500975586,-122.499522690584,1,2017,600,"39th","Avenue",37.776683,-122.489908,"2017 Outer Richmond","1 2017 Outer Richmond",1
511,790,"1500 Block Of 09th  Avenue","Inner Sunset",37.7593780777514,-122.465985185229,7,2015,1500,"09th","Avenue",37.762068,-122.467189,"2015 Inner Sunset","7 2015 Inner Sunset",1
512,791,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,1,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","1 2018 Tenderloin",1
513,792,"500 Block Of Gonzalez  Drive","Lakeshore",37.7161426415235,-122.478808588133,12,2018,500,"Gonzalez","Drive",37.71872,-122.477916,"2018 Lakeshore","12 2018 Lakeshore",1
514,793,"1300 Block Of Natoma  Street","Mission",37.7675596336626,-122.418479334084,2,2018,1300,"Natoma","Street",37.758338,-122.414678,"2018 Mission","2 2018 Mission",1
515,794,"1700 Block Of Golden Gate  Avenue","Western Addition",37.7786177883927,-122.439382805663,5,2014,1700,"Golden Gate","Avenue",37.780587,-122.43451,"2014 Western Addition","5 2014 Western Addition",1
516,796,"3000 Block Of 16th  Street","Mission",37.7649865856174,-122.420740940303,12,2013,3000,"16th","Street",37.758338,-122.414678,"2013 Mission","12 2013 Mission",1
517,797,"1000 Block Of Scott  Street","Western Addition",37.7791708379993,-122.436931572335,4,2014,1000,"Scott","Street",37.780587,-122.43451,"2014 Western Addition","4 2014 Western Addition",1
518,798,"4100 Block Of Cesar Chavez  Street","Glen Park/Noe Valley",37.7473433551918,-122.43291322009,4,2013,4100,"Cesar Chavez","Street",37.747095,-122.431421,"2013 Noe Valley","4 2013 Noe Valley",1
519,799,"500 Block Of Peru  Avenue","Excelsior/Outer Mission",37.7265156234983,-122.425329168079,2,2014,500,"Peru","Avenue",37.7223,-122.431224,"2014 Excelsior","2 2014 Excelsior",1
520,800,"700 Block Of 25th  Avenue","Outer Richmond",37.7753694144177,-122.484393294257,8,2013,700,"25th","Avenue",37.776683,-122.489908,"2013 Outer Richmond","8 2013 Outer Richmond",1
