"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"1733","10/07/2016",70000,"433 Filbert Street","North Beach","POINT (-122.40677953478107 37.801680642226884)"
"1734","11/08/2018",24300,"1779 29th Avenue","Sunset/Parkside","POINT (-122.4872611271957 37.754206181051416)"
"1735","",NA,"2506 Polk Street","Russian Hill","POINT (-122.42253207486398 37.799837936362806)"
"1736","10/24/2016",30000,"2030 Green Street","Marina","POINT (-122.43258062553525 37.796537174342745)"
"1737","",NA,"2826 Pierce Street","Marina","POINT (-122.4386293448356 37.7960387290637)"
"1738","",NA,"2865 Bush Street","Presidio Heights","POINT (-122.44442106717503 37.78560411643577)"
"1739","04/22/2020",30000,"1932 Fell Street","Lone Mountain/USF","POINT (-122.4497373750967 37.77253656606627)"
"1740","01/07/2016",22500,"48 Sumner Street","South of Market","POINT (-122.41056056271444 37.77629127206148)"
"1741","",NA,"643 35th Avenue","Outer Richmond","POINT (-122.4952986195418 37.77686864203789)"
"1742","11/29/2021",25000,"22 Darrell Place","North Beach","POINT (-122.40427995995411 37.802203216294025)"
"1743","",NA,"1599 Green Street","Marina","POINT (-122.42533258587207 37.797400808023816)"
"1744","",NA,"707 Faxon Avenue","West of Twin Peaks","POINT (-122.4599229047414 37.72599533474813)"
"1745","",NA,"1714 Cabrillo Street","Outer Richmond","POINT (-122.47707862198659 37.77480008326444)"
"1747","",NA,"1910 Jackson Street","Pacific Heights","POINT (-122.42661125150386 37.79351607474886)"
"1748","",NA,"4327 20th Street","Castro/Upper Market","POINT (-122.43615779316066 37.757580216873386)"
"1749","01/29/2018",50000,"908 Stanyan Street","Haight Ashbury","POINT (-122.452896159878 37.76623285229589)"
"1750","",NA,"246 Girard Street","Portola","POINT (-122.4053987149511 37.72920354379029)"
"1751","08/06/2019",125000,"186 Jordan Avenue","Presidio Heights","POINT (-122.45663598386861 37.78181845522222)"
"1752","03/23/2018",20833.33,"2874 16th Street","Mission","POINT (-122.41693388458614 37.765249358421045)"
"1753","05/16/2016",70000,"1364 Vermont Street","Mission","POINT (-122.40337807771496 37.752375430517986)"
"1754","",NA,"276 Nevada Street","Bernal Heights","POINT (-122.41151216615351 37.73863001549464)"
"1755","",NA,"272 Jersey Street","Noe Valley","POINT (-122.43116837212615 37.7506989101654)"
"1756","",NA,"306 parnassus Avenue","Inner Sunset","POINT (-122.45451725266032 37.764308697704536)"
"1758","04/18/2018",30000,"1942 Vicente Street","Sunset/Parkside","POINT (-122.48770674530492 37.7388159355506)"
"1760","12/05/2017",50000,"4507 18th Street","Castro/Upper Market","POINT (-122.43956386066239 37.76059129534522)"
"1761","",NA,"1 putnam Street","Bernal Heights","POINT (-122.4107205951478 37.73970563881129)"
"1762","",NA,"1050 Oak Street","Hayes Valley","POINT (-122.436620583964 37.773269364415334)"
"1763","",NA,"1522 Howard Street","Mission","POINT (-122.4159463010491 37.77282286588448)"
"1764","",NA,"857 Colby Street","Portola","POINT (-122.41019499157842 37.719862862497564)"
"1765","",NA,"26 day Street","Noe Valley","POINT (-122.42343170079019 37.7431225422164)"
"1766","",NA,"2407 Octavia Street","Pacific Heights","POINT (-122.42823302479367 37.794322358114734)"
"1767","04/25/2018",52122.8,"1851 14th Avenue","Inner Sunset","POINT (-122.47122755866013 37.75342225102558)"
"1768","",NA,"78 Williams Avenue","Bayview Hunters Point","POINT (-122.39475511019491 37.72959641711926)"
"1771","",NA,"250 Fell Street","Hayes Valley","POINT (-122.422001083876 37.776084109123886)"
"1772","04/30/2021",15000,"2751 Laguna Street","Marina","POINT (-122.43032510559439 37.79632672825457)"
"1773","04/27/2021",62900,"1221 Clayton Street","Inner Sunset","POINT (-122.44669553367827 37.76157450917619)"
"1774","11/17/2016",40000,"2512 Polk Street","Russian Hill","POINT (-122.42254138108015 37.79988401070826)"
"1776","",NA,"1260 chestnut Street","Russian Hill","POINT (-122.424087436513 37.80239676536238)"
"1777","11/17/2017",50000,"4118 21st Street","Castro/Upper Market","POINT (-122.43702594451483 37.75597931453258)"
"1778","09/16/2016",32900,"1465 Oakdale Avenue","Bayview Hunters Point","POINT (-122.38784049483507 37.73313046691209)"
"1779","04/20/2020",26502.4,"1900 Jefferson Street","Marina","POINT (-122.4439227109458 37.804655237896654)"
"1780","06/01/2022",55000,"332 Chenery Street","Glen Park","POINT (-122.42818719805202 37.73695017255325)"
"1781","02/14/2020",12000,"725 Ellis Street","Tenderloin","POINT (-122.41817780196232 37.784156246905)"
"1782","05/27/2015",24500,"2400 Pacheco Street","Sunset/Parkside","POINT (-122.48598553363338 37.75011148726124)"
"1783","",NA,"2 Ankeny Street","Portola","POINT (-122.40358659436893 37.71843451497953)"
"1784","07/28/2016",22000,"1925 Leavenworth Street","Russian Hill","POINT (-122.4173197336847 37.798746103057155)"
"1785","03/11/2016",40000,"558 17th Avenue","Outer Richmond","POINT (-122.47592463339197 37.77747554880046)"
"1786","",NA,"339 Pierce Street","Haight Ashbury","POINT (-122.43404549196345 37.77300121699962)"
"1787","",NA,"1016 Shotwell Street","Mission","POINT (-122.41518769009394 37.75212032418543)"
"1788","02/03/2022",40000,"306 Lawton Street","Inner Sunset","POINT (-122.46610019202951 37.75846929687418)"
"1789","",NA,"1801 38th Avenue","Sunset/Parkside","POINT (-122.49687575864796 37.75325627382394)"
"1790","",NA,"2104 24th Street","Potrero Hill","POINT (-122.40075170297844 37.75336788699049)"
"1792","07/06/2021",26921.65,"3318 26th Street","Mission","POINT (-122.41631727375511 37.749183262277214)"
"1794","",NA,"1724 Jenning Street","Bayview Hunters Point","POINT (-122.3866316676109 37.729373313249866)"
"1795","08/02/2016",1200,"205 09th Street","South of Market","POINT (-122.41301674638561 37.77490910710537)"
"1796","",NA,"1338 Natoma Street","Mission","POINT (-122.41854176627157 37.76772197845193)"
"1798","01/30/2018",56500,"2780 Diamond Street","Glen Park","POINT (-122.43381170405345 37.734833849094414)"
"1799","05/10/2017",6000,"442 04th Avenue","Inner Richmond","POINT (-122.46205890625538 37.78027991605308)"
"1800","03/06/2017",100006.81,"1817 15th Street","Mission","POINT (-122.42462047509107 37.76636249952246)"
"1801","12/28/2015",27000,"1279 38th Avenue","Sunset/Parkside","POINT (-122.49756193833585 37.76310456627947)"
"1802","09/20/2017",30000,"279 Filbert Street","North Beach","POINT (-122.40414218836332 37.80199881655945)"
"1803","11/03/2021",150000,"105 08th Avenue","Inner Richmond","POINT (-122.46686595366877 37.78641328117106)"
"1804","08/19/2021",10750,"300 Buchanan Street","Hayes Valley","POINT (-122.42715708507431 37.77262321553924)"
"1805","",NA,"154 Beulah Street","Haight Ashbury","POINT (-122.45241872302309 37.76743469426058)"
"1806","11/29/2021",46105,"2446 19th Avenue","West of Twin Peaks","POINT (-122.47551078641374 37.742179691994565)"
"1807","05/09/2017",90000,"859 South Van Ness Avenue","Mission","POINT (-122.41691590849176 37.75944192320249)"
"1808","10/31/2019",8500,"105 Robinhood Drive","West of Twin Peaks","POINT (-122.45695042565706 37.73692058628124)"
"1809","",NA,"141 Blake Street","Lone Mountain/USF","POINT (-122.4510507349156 37.78141258831962)"
"1810","",NA,"831 Greenwich Street","Russian Hill","POINT (-122.41334253607359 37.80181108296777)"
"1811","02/17/2016",5000,"1211 Polk Street","Nob Hill","POINT (-122.42020524042654 37.787966322327)"
"1812","",NA,"49 Broderick Street","Haight Ashbury","POINT (-122.43865817765806 37.7705842571361)"
"1813","01/13/2016",20000,"154 Stillings Avenue","West of Twin Peaks","POINT (-122.44330890582557 37.73459473898718)"
"1814","06/19/2017",65000,"676 Castro Street","Castro/Upper Market","POINT (-122.43478460855438 37.75809867598051)"
"1815","",NA,"1315 Stevenson Street","Mission","POINT (-122.42169718841483 37.771338346143494)"
"1816","05/03/2022",NA,"1544 Mcallister Street","Western Addition","POINT (-122.43747596254047 37.77794130137788)"
"1817","",NA,"3234 Mission Street","Bernal Heights","POINT (-122.42038190526543 37.74491293683627)"
"1818","",NA,"2898 Jackson Street","Pacific Heights","POINT (-122.44273326260974 37.79146394848808)"
"1819","11/16/2015",70000,"2757 43rd Avenue","Sunset/Parkside","POINT (-122.50101920459802 37.7356893755747)"
"1820","",NA,"759 06th Avenue","Inner Richmond","POINT (-122.46384918215743 37.77435618116678)"
"1821","",NA,"2926 Fillmore Street","Marina","POINT (-122.43533965950196 37.796456187586614)"
"1822","06/15/2018",15000,"147 Maynard Street","Excelsior","POINT (-122.42722370227189 37.72936913072454)"
"1823","11/05/2020",NA,"1167 Valencia Street","Mission","POINT (-122.42084399605957 37.75426098606069)"
"1825","01/03/2022",49407.1,"34 Tamalpais Terrace","Lone Mountain/USF","POINT (-122.44878744352705 37.77805021649139)"
"1826","07/17/2019",11634,"701 Mangels Avenue","West of Twin Peaks","POINT (-122.45354663473937 37.73300666944575)"
"1827","09/15/2020",13166.67,"3253 Harrison Street","Bernal Heights","POINT (-122.41150566248876 37.746022366417925)"
"1828","",NA,"26 Linda Street","Mission","POINT (-122.42299214764127 37.76119619945885)"
"1829","07/20/2020",81096,"1632 Grove Street","Lone Mountain/USF","POINT (-122.44354087000309 37.77525383063434)"
"1830","07/24/2015",2000,"2 Emery Lane","Chinatown","POINT (-122.40963648477738 37.79856945591582)"
"1833","09/11/2018",35000,"1691 22nd Avenue","Sunset/Parkside","POINT (-122.47988002787498 37.75619685145481)"
"1834","",NA,"3900 Cabrillo Street","Outer Richmond","POINT (-122.50051483395048 37.77372872179117)"
"1835","07/16/2015",25874,"1515 Baker Street","Presidio Heights","POINT (-122.44326902368324 37.78502403974166)"
"1836","",NA,"833 Ashbury Street","Haight Ashbury","POINT (-122.44630541535976 37.76667540513649)"
"1837","",NA,"3839 Moraga Street","Sunset/Parkside","POINT (-122.503844075703 37.75488454942122)"
"1838","02/19/2020",30400,"12 Buena Vista Terrace","Castro/Upper Market","POINT (-122.43839681907752 37.76875096628194)"
"1839","09/30/2019",91000,"72 28th Street","Noe Valley","POINT (-122.42387444843963 37.745509567172526)"
"1840","12/22/2021",35075,"2235 31st Avenue","Sunset/Parkside","POINT (-122.48880706297685 37.74554264698606)"
"1841","",NA,"1841 19th Street","Potrero Hill","POINT (-122.40067900419992 37.76102175433182)"
"1842","09/10/2018",2500,"2365 O’farrell Street","Lone Mountain/USF","POINT (-122.44302869991867 37.78192399315933)"
"1844","",NA,"1441 Oak Street","Haight Ashbury","POINT (-122.44307837613931 37.7723946381312)"
"1846","09/26/2018",7600,"3543 19th Street","Mission","POINT (-122.42247315232053 37.76001660549116)"
"1847","",NA,"207 Gough Street","Hayes Valley","POINT (-122.42267036807591 37.775146256721314)"
"1848","",NA,"903 North Point Street","Russian Hill","POINT (-122.42215583938022 37.80545694591264)"
"1849","10/15/2018",13000,"631 O’farrell Street","Tenderloin","POINT (-122.41514004409774 37.785495982466614)"
"1850","09/24/2021",47457.46,"114 Topeka Avenue","Bayview Hunters Point","POINT (-122.39908879317721 37.73381036527805)"
"1853","",NA,"1838 41st Avenue","Sunset/Parkside","POINT (-122.49997211993974 37.752463245210755)"
"1854","",NA,"1177 California Street","Nob Hill","POINT (-122.4136837297651 37.7914499176847)"
"1855","",NA,"765 Cole Street","Haight Ashbury","POINT (-122.45031878660875 37.76735553282116)"
"1856","",NA,"175 Alhambra Street","Marina","POINT (-122.43919654738392 37.801768825821725)"
"1858","09/12/2019",195000,"2459 Larkin Street","Russian Hill","POINT (-122.42103327566934 37.800438134036575)"
"1859","",NA,"3283 25th Street","Mission","POINT (-122.41566536239118 37.75077637584725)"
"1860","",NA,"535 Columbus Avenue","Chinatown","POINT (-122.40948979061875 37.79977900073341)"
"1861","",NA,"455 26th Avenue","Outer Richmond","POINT (-122.48591730355298 37.78092007254263)"
"1862","11/21/2016",39757.13,"422 Linden Street","Hayes Valley","POINT (-122.4250051063679 37.77617930867639)"
"1864","05/30/2017",27219,"1619 26th Avenue","Sunset/Parkside","POINT (-122.48425376137875 37.75724157522968)"
"1865","",NA,"3069 16th Street","Mission","POINT (-122.42111216821692 37.76494279163098)"
"1866","",NA,"436 05th Avenue","Inner Richmond","POINT (-122.46313882505846 37.78034317850404)"
"1867","12/31/2021",80000,"1674 Washington Street","Russian Hill","POINT (-122.42078707037389 37.793347950518154)"
"1868","06/21/2021",50000,"1950 Franklin Street","Pacific Heights","POINT (-122.42441026377085 37.79241974923981)"
"1869","02/22/2021",65000,"1828 Irving Street","Sunset/Parkside","POINT (-122.4775282742136 37.763576508978325)"
"1870","08/28/2019",150000,"263 Eureka Street","Castro/Upper Market","POINT (-122.43799695370258 37.75811001102619)"
"1871","",NA,"1642 31st Avenue","Sunset/Parkside","POINT (-122.48951281952395 37.756597003881886)"
"1872","",NA,"601 O’farrell Street","Tenderloin","POINT (-122.41473722952874 37.785546624282325)"
"1873","10/12/2021",23900,"380 14th Street","Mission","POINT (-122.42179764766101 37.76819679504167)"
"1874","",NA,"1220 Jackson Street","Nob Hill","POINT (-122.41524676457783 37.79496826155254)"
"1875","",NA,"1945 McAllister Street","Lone Mountain/USF","POINT (-122.44407921235384 37.77704841481561)"
"1876","",NA,"354 Crescent Avenue","Bernal Heights","POINT (-122.41772559426988 37.734910546570674)"
"1878","",NA,"1180 Filbert Street","Russian Hill","POINT (-122.41887821607506 37.8002124939813)"
"1879","",NA,"325 Octavia Street","Hayes Valley","POINT (-122.424405848017 37.775132589320556)"
"1880","12/21/2020",20000,"1438 Waller Street","Haight Ashbury","POINT (-122.44731309744424 37.76903591252923)"
"1881","06/16/2022",75000,"816 Hampshire Street","Mission","POINT (-122.40792287199145 37.75899145750823)"
"1882","10/08/2019",16000,"673 Shotwell Street","Mission","POINT (-122.41565012172168 37.757705487804714)"
"1883","",NA,"2246 Mason Street","North Beach","POINT (-122.41336184686867 37.80450960052295)"
"1884","",NA,"686 South Van Ness Avenue","Mission","POINT (-122.4172513848556 37.76223468475265)"
"1885","03/24/2020",27500,"1333 Lyon Street","Presidio Heights","POINT (-122.44460157530924 37.78325758488737)"
"1886","11/13/2018",35000,"1733 Geneva Avenue","McLaren Park","POINT (-122.42603220410848 37.71100092459745)"
"1887","01/04/2018",1e+05,"14 Walter Street","Castro/Upper Market","POINT (-122.43248440979792 37.768970009124104)"
"1888","06/30/2017",16762.73,"221 03rd Avenue","Inner Richmond","POINT (-122.4613536415239 37.78452557886033)"
"1889","",NA,"361 Howth Street","Oceanview/Merced/Ingleside","POINT (-122.45197592581783 37.71912995336073)"
"1890","05/24/2019",6980,"207 Russia Avenue","Excelsior","POINT (-122.43544612190728 37.72079107950756)"
"1891","",NA,"729 Grove Street","Hayes Valley","POINT (-122.4285863580161 37.77709551658832)"
"1892","12/24/2018",7831.48,"1355 Pine Street","Nob Hill","POINT (-122.41810351550681 37.78990633956004)"
"1893","06/05/2019",43000,"137 Bertita Street","Outer Mission","POINT (-122.43989735086677 37.71904776190129)"
"1894","07/18/2016",140000,"10 Washburn Street","South of Market","POINT (-122.4149701279284 37.775719901413005)"
"1895","",NA,"537 Clayton Street","Haight Ashbury","POINT (-122.44874050415797 37.77036518359711)"
"1896","",NA,"374 Noe Street","Castro/Upper Market","POINT (-122.43303840937575 37.7630531025514)"
"1898","09/16/2019",459,"425 Guerrero Street","Mission","POINT (-122.42399742241325 37.76438528239253)"
"1899","",NA,"883 Hayes Street","Hayes Valley","POINT (-122.43086244152342 37.77585651059793)"
"1900","",NA,"14 Naglee Avenue","Outer Mission","POINT (-122.44622861740643 37.71173509455611)"
"1901","",NA,"2155 Jackson Street","Pacific Heights","POINT (-122.43052400468312 37.79296257991142)"
"1902","",NA,"246 30th Street","Noe Valley","POINT (-122.42530594083713 37.742204190397)"
"1903","",NA,"1291 11th Avenue","Inner Sunset","POINT (-122.46851436345322 37.764175750102055)"
"1904","12/18/2018",12000,"2855 Pierce Street","Marina","POINT (-122.4387400313009 37.796244819588736)"
"1907","02/16/2017",60750,"253 Lincoln Way","Inner Sunset","POINT (-122.46059396505713 37.76611944962778)"
"1908","11/07/2019",27500,"274 Naples Street","Excelsior","POINT (-122.42856775213582 37.724396190562814)"
"1911","06/01/2022",50000,"2130 Leavenworth Street","Russian Hill","POINT (-122.41763932214367 37.80066857596007)"
"1912","06/13/2019",175000,"1381 43rd Avenue","Sunset/Parkside","POINT (-122.50278825323558 37.76096863737627)"
"1913","08/11/2015",25000,"540 Leavenworth Street","Tenderloin","POINT (-122.41467741947523 37.78599063075217)"
"1914","10/02/2018",45000,"836 Vallejo Street","Chinatown","POINT (-122.41110683902647 37.798324370715015)"
"1915","10/17/2019",NA,"620 25th Avenue","Outer Richmond","POINT (-122.48454314980378 37.77773874112416)"
"1916","",NA,"1711 33rd Avenue","Sunset/Parkside","POINT (-122.4916338477195 37.75518719744362)"
"1918","",NA,"45 Arleta Avenue","Visitacion Valley","POINT (-122.40352184881681 37.71267190162649)"
"1919","",NA,"1415 11th Avenue","Inner Sunset","POINT (-122.46834512825096 37.761754086138694)"
"1920","",NA,"974 Hayes Street","Hayes Valley","POINT (-122.43239171600993 37.7757160225652)"
"1923","",NA,"1030 Washington Street","Chinatown","POINT (-122.4102879730765 37.79469684557777)"
"1924","",NA,"851 San Jose Avenue","Bernal Heights","POINT (-122.42351499194535 37.741431153512174)"
"1925","",NA,"488 Grove Street","Hayes Valley","POINT (-122.42457074070714 37.77766683472575)"
"1926","",NA,"123 Judson Avenue","West of Twin Peaks","POINT (-122.44486158810147 37.72826270406144)"
"1927","",NA,"1570 Washington Street","Russian Hill","POINT (-122.41908039537881 37.79356683374874)"
"1929","",NA,"1445 McKinnon Avenue","Bayview Hunters Point","POINT (-122.38694228360524 37.73450825128987)"
"1930","",NA,"770 Clementina Street","South of Market","POINT (-122.41172725946458 37.77460204647096)"
"1932","04/25/2016",50000,"61 Cumberland Street","Mission","POINT (-122.42496376915122 37.75906120935044)"
"1933","",NA,"3571 16th Street","Castro/Upper Market","POINT (-122.43250533437741 37.76425393411558)"
"1934","06/08/2016",22212.8,"233 Chestnut Street","North Beach","POINT (-122.40732315939677 37.80444112185831)"
"1935","08/09/2021",27200,"2336 North point Street","Marina","POINT (-122.44592117563157 37.80248901407239)"
"1936","10/12/2021",26300,"305 Bocana Street","Bernal Heights","POINT (-122.41864749178578 37.739165309069925)"
"1937","",NA,"2739 Hyde Street","Russian Hill","POINT (-122.4204939941841 37.80610437010563)"
"1938","",NA,"2972 Bush Street","Presidio Heights","POINT (-122.44601578387946 37.78545592688647)"
"1939","",NA,"3622 Lawton Street","Sunset/Parkside","POINT (-122.50169336791788 37.75690040440923)"
"1940","",NA,"1470 15th Street","Mission","POINT (-122.4170402459965 37.7668746365287)"
"1941","04/30/2019",33000,"220 Hermann Street","Hayes Valley","POINT (-122.42879612832651 37.77043888753217)"
"1942","",NA,"17 Hoffman Avenue","Noe Valley","POINT (-122.44089104203296 37.75391783658016)"
"1943","",NA,"225 Mallorca Way","Marina","POINT (-122.43855696255567 37.80282277604803)"
"1944","11/20/2019",47000,"1655 Jones Street","Nob Hill","POINT (-122.415180025267 37.7965094939077)"
"1945","03/23/2015",50000,"1240 21st Avenue","Sunset/Parkside","POINT (-122.47932265525758 37.764572102118564)"
"1946","",NA,"1200 Sacramento Street","Nob Hill","POINT (-122.4127803845807 37.792569666131605)"
"1947","09/04/2015",20000,"1773 Green Street","Marina","POINT (-122.42824413652716 37.797031948422834)"
"1948","",NA,"34 Naylor Street","Excelsior","POINT (-122.4340034878406 37.711147807614)"
"1951","01/12/2018",12600,"327 05th Avenue","Inner Richmond","POINT (-122.46335756819289 37.78244122898703)"
"1953","",NA,"200 romain Street","Twin Peaks","POINT (-122.44145140658041 37.75620208304896)"
"1954","04/11/2022",50000,"3962 18th Street","Castro/Upper Market","POINT (-122.43196379553201 37.761104311618865)"
"1955","07/13/2021",50000,"1818 Santiago Street","Sunset/Parkside","POINT (-122.48681958445876 37.744465852037855)"
"1956","07/31/2017",50000,"1430 Valencia Street","Mission","POINT (-122.42050389707028 37.749984300502874)"
"1957","",NA,"304 Precita Avenue","Bernal Heights","POINT (-122.41336633509412 37.74675426775213)"
"1958","",NA,"1049 14th Street","Castro/Upper Market","POINT (-122.43702639691546 37.76721984773334)"
"1959","11/02/2015",48500,"1015 Pierce Street","Western Addition","POINT (-122.43532330029355 37.7793256968576)"
"1960","09/09/2020",30000,"62 States Street","Castro/Upper Market","POINT (-122.43688689514825 37.763397208446825)"
"1961","",NA,"1031 York Street","Mission","POINT (-122.40842721136303 37.75553655575657)"
"1962","",NA,"5408 California Street","Outer Richmond","POINT (-122.47556776548859 37.78434313819414)"
"1964","03/16/2021",50000,"4422 23rd Street","Noe Valley","POINT (-122.44124504160096 37.75249937706272)"
"1967","",NA,"818 Scott Street","Western Addition","POINT (-122.43653297077414 37.777305929286285)"
"1969","12/06/2016",107920,"276 Day Street","Noe Valley","POINT (-122.42826259313178 37.742829805959936)"
"1970","07/11/2016",52400,"523 Chestnut Street","North Beach","POINT (-122.41212707130352 37.80387547755305)"
"1971","06/29/2018",60000,"75 carl Street","Haight Ashbury","POINT (-122.44938607834445 37.765852235503765)"
"1972","03/23/2017",25000,"3938 18th Street","Castro/Upper Market","POINT (-122.43147556565529 37.7611338186438)"
"1974","",NA,"431 Panorama Drive","Twin Peaks","POINT (-122.45185271286742 37.752208972956915)"
"1975","",NA,"123 Downey Street","Haight Ashbury","POINT (-122.44715472811839 37.766663979933675)"
"1976","01/02/2020",142500,"811 Oak Street","Haight Ashbury","POINT (-122.43273169794179 37.7737027735697)"
"1978","",NA,"1050 Washington Street","Chinatown","POINT (-122.41040824521754 37.79468162302521)"
"1979","04/23/2018",41326.7,"161 Divisadero Street","Haight Ashbury","POINT (-122.4367908508042 37.769803324878175)"
"1980","03/16/2021",30000,"2442 Great Highway","Sunset/Parkside","POINT (-122.50680927074107 37.740880556109396)"
"1981","10/04/2018",32946.75,"108 Guerrero Street","Mission","POINT (-122.42465857842434 37.76955127078998)"
"1982","11/18/2020",52000,"57 Peters Avenue","Bernal Heights","POINT (-122.41951101960936 37.74499214308356)"
"1984","11/07/2018",15000,"827 Arguello Boulevard","Inner Richmond","POINT (-122.45849246621228 37.775379860617505)"
"1985","08/12/2019",42000,"462 Elizabeth Street","Noe Valley","POINT (-122.43111877102334 37.752309528723366)"
"1987","",NA,"352 Hermann Street","Hayes Valley","POINT (-122.43095734614609 37.77016509690937)"
"1988","",NA,"1153 Florida Street","Mission","POINT (-122.41011825829641 37.75350328730972)"
"1989","",NA,"4124 California Street","Inner Richmond","POINT (-122.46170720693871 37.785393907885975)"
"1990","",NA,"2407 15th Street","Castro/Upper Market","POINT (-122.43727311703431 37.76589279694049)"
"1991","",NA,"747 Baker Street","Lone Mountain/USF","POINT (-122.44181412255732 37.777814166110694)"
"1992","",NA,"421 07th Avenue","Inner Richmond","POINT (-122.4653671298466 37.78052318213178)"
"1993","",NA,"2025 Oak Street","Haight Ashbury","POINT (-122.45271423739409 37.771145369253375)"
"1994","06/09/2015",35000,"6 Doric Alley","Chinatown","POINT (-122.41100501059071 37.79519843400134)"
"1995","08/16/2016",15000,"137 Farallones Street","Oceanview/Merced/Ingleside","POINT (-122.4571968951192 37.71404657625301)"
"1997","",NA,"69 Tiffany Avenue","Bernal Heights","POINT (-122.42091279857488 37.74559665006986)"
"1999","",NA,"1418 30th Avenue","Sunset/Parkside","POINT (-122.4887303068456 37.76078759897581)"
"2000","",NA,"58 Alvarado Street","Mission","POINT (-122.4223982511718 37.754445857267925)"
"2001","",NA,"537 valencia Street","Mission","POINT (-122.42180651537457 37.76430631154718)"
"2002","",NA,"409 Central Avenue","Lone Mountain/USF","POINT (-122.44429337695396 37.773363724506495)"
"2003","08/22/2019",75000,"342 Judson Avenue","West of Twin Peaks","POINT (-122.44984624130196 37.728395954689056)"
"2004","01/19/2016",24000,"869 Rutland Street","Visitacion Valley","POINT (-122.40773815895726 37.71182717738309)"
"2005","",NA,"846 Shotwell Street","Mission","POINT (-122.41544802899412 37.75488021416845)"
"2006","07/22/2020",8000,"2075 Sutter Street","Japantown","POINT (-122.43446517905218 37.785912970551124)"
"2007","01/19/2021",37000,"3753 22nd Street","Noe Valley","POINT (-122.43114112531815 37.75466877095409)"
"2008","10/28/2021",30000,"40 Sanchez Street","Castro/Upper Market","POINT (-122.43133648607535 37.768622007183)"
"2009","05/17/2019",110000,"565 Page Street","Hayes Valley","POINT (-122.43003396048985 37.77309425611865)"
"2010","",NA,"6 JANSEN Street","Russian Hill","POINT (-122.41367498352777 37.801920654728946)"
"2011","",NA,"1751 28th Avenue","Sunset/Parkside","POINT (-122.48622889432855 37.75473523291876)"
"2012","",NA,"315 London Street","Excelsior","POINT (-122.43422711689776 37.72403041948286)"
"2013","08/08/2019",127000,"1733 Larkin Street","Russian Hill","POINT (-122.41968873216196 37.793788198238076)"
"2014","09/22/2017",29042.5,"3839 Folsom Street","Bernal Heights","POINT (-122.41331234794501 37.738706015405825)"
"2015","",NA,"1750 Fell Street","Lone Mountain/USF","POINT (-122.4467324546163 37.772922759755524)"
"2017","",NA,"1003 Post Street","Tenderloin","POINT (-122.41842016464074 37.786998251545256)"
"2018","",NA,"1362 Sacramento Street","Nob Hill","POINT (-122.41533156950412 37.79224411854963)"
"2019","",NA,"729 Castro Street","Castro/Upper Market","POINT (-122.43463244111162 37.75722631508582)"
"2020","02/18/2016",59570.42,"3158 Mission Street","Bernal Heights","POINT (-122.41926335819527 37.74664028983487)"
"2021","10/19/2017",11000,"351 Turk Street","Tenderloin","POINT (-122.41489607428252 37.78266615430187)"
"2023","02/09/2016",10500,"225 Waller Street","Hayes Valley","POINT (-122.4274373481857 37.77151236666109)"
"2024","04/27/2016",6000,"2345 Bush Street","Pacific Heights","POINT (-122.43586169449458 37.78669327739981)"
"2025","05/21/2020",115000,"1630 Washington Street","Russian Hill","POINT (-122.42014655255312 37.79342906478142)"
"2026","05/09/2016",11460,"2466 26th Avenue","Sunset/Parkside","POINT (-122.48308623724968 37.7414999801271)"
"2027","09/10/2021",122300,"40 Sanchez Street","Castro/Upper Market","POINT (-122.43133648607535 37.768622007183)"
"2028","12/19/2017",20600,"259 Cervantes Boulevard","Marina","POINT (-122.441704884066 37.80536779845503)"
"2029","02/17/2022",10000,"2627 18th Avenue","West of Twin Peaks","POINT (-122.47437386426732 37.738829818478585)"
"2030","",NA,"2709 Jackson Street","Pacific Heights","POINT (-122.43972535293798 37.791791952109456)"
"2031","",NA,"3481 pierce Street","Marina","POINT (-122.43993536318924 37.80245035812988)"
"2032","",NA,"1163 Alabama Street","Mission","POINT (-122.41100211806722 37.75330421488316)"
"2033","",NA,"327 Day Street","Noe Valley","POINT (-122.42945745734372 37.742703688704786)"
"2034","08/07/2015",4000,"80 Terra Vista Avenue","Lone Mountain/USF","POINT (-122.44324578983024 37.781473628938926)"
"2035","",NA,"765 O’farrell Street","Tenderloin","POINT (-122.41730535241044 37.78522226210171)"
"2036","",NA,"920 Leavenworth Street","Nob Hill","POINT (-122.4154002449295 37.78957240591418)"
"2037","04/01/2019",1000,"1454 South Van Ness Avenue","Mission","POINT (-122.41607136113461 37.749902121838424)"
"2038","",NA,"38 Gough Street","Mission","POINT (-122.42097690703417 37.77230432174972)"
"2039","",NA,"3328 19th Street","Mission","POINT (-122.4176210697547 37.76036392921424)"
"2040","",NA,"1665 Alabama Street","Bernal Heights","POINT (-122.41052127533766 37.746073287984444)"
"2042","",NA,"4317 21st Street","Noe Valley","POINT (-122.43925000271864 37.7553396390945)"
"2043","12/23/2020",17805,"556 Sanchez Street","Castro/Upper Market","POINT (-122.4305281503444 37.76019283286114)"
"2044","11/08/2021",72245,"3862 Cesar Chavez Street","Noe Valley","POINT (-122.42619467119984 37.74777891967273)"
