"","...1","nhood_month_year","avg_rent.mq","month","year","nhood","d"
"319",319,"10 2016 NOPA",3.68883112088572,10,2016,"NOPA",2016-10-01
"320",320,"10 2016 north beach / telegraph hill",5.45937618916401,10,2016,"north beach / telegraph hill",2016-10-01
"321",321,"10 2016 outer sunset",3.19300178714008,10,2016,"outer sunset",2016-10-01
"322",322,"10 2016 pacific heights",4.76031404960011,10,2016,"pacific heights",2016-10-01
"323",323,"10 2016 parkside",3.40568742201939,10,2016,"parkside",2016-10-01
"324",324,"10 2016 potrero hill",4.60164205084195,10,2016,"potrero hill",2016-10-01
"325",325,"10 2016 presidio hts / laurel hts / lake st",3.34114130434783,10,2016,"presidio hts / laurel hts / lake st",2016-10-01
"326",326,"10 2016 russian hill",5.22689776729166,10,2016,"russian hill",2016-10-01
"327",327,"10 2016 san francisco",2.84763096202177,10,2016,"san francisco",2016-10-01
"328",328,"10 2016 sea cliff",3.18809840955406,10,2016,"sea cliff",2016-10-01
"329",329,"10 2016 SOMA / south beach",4.79003368360726,10,2016,"SOMA / south beach",2016-10-01
"330",330,"10 2016 tenderloin",4.42414077212806,10,2016,"tenderloin",2016-10-01
"331",331,"10 2016 twin peaks",4.31274509803922,10,2016,"twin peaks",2016-10-01
"332",332,"10 2016 visitacion valley",2.65343915343915,10,2016,"visitacion valley",2016-10-01
"333",333,"10 2016 west portal / forest hills",3.25,10,2016,"west portal / forest hills",2016-10-01
"334",334,"10 2017 bayview",3.58695652173913,10,2017,"bayview",2017-10-01
"335",335,"10 2017 castro",4.3859649122807,10,2017,"castro",2017-10-01
"336",336,"10 2017 civic / van ness",4.6415770609319,10,2017,"civic / van ness",2017-10-01
"337",337,"10 2017 diamond heights",2.65625,10,2017,"diamond heights",2017-10-01
"338",338,"10 2017 excelsior / outer mission",3.10902896081772,10,2017,"excelsior / outer mission",2017-10-01
"339",339,"10 2017 financial district",4.75,10,2017,"financial district",2017-10-01
"340",340,"10 2017 glen park",3.95,10,2017,"glen park",2017-10-01
"341",341,"10 2017 hayes valley",7.5503355704698,10,2017,"hayes valley",2017-10-01
"342",342,"10 2017 ingleside",3.69318181818182,10,2017,"ingleside",2017-10-01
"343",343,"10 2017 lakeshore",2.43478260869565,10,2017,"lakeshore",2017-10-01
"344",344,"10 2017 lower pac hts",5.48210526315789,10,2017,"lower pac hts",2017-10-01
"345",345,"10 2017 marina / cow hollow",5.04675639035221,10,2017,"marina / cow hollow",2017-10-01
"346",346,"10 2017 mission district",5.97486945063367,10,2017,"mission district",2017-10-01
"347",347,"10 2017 nob hill",5.05371470471377,10,2017,"nob hill",2017-10-01
"348",348,"10 2017 NOPA",3.46842105263158,10,2017,"NOPA",2017-10-01
"349",349,"10 2017 north beach / telegraph hill",4.9375,10,2017,"north beach / telegraph hill",2017-10-01
"350",350,"10 2017 outer sunset",7.95454545454545,10,2017,"outer sunset",2017-10-01
"351",351,"10 2017 parkside",2.72934287573195,10,2017,"parkside",2017-10-01
"352",352,"10 2017 portola",3.49019607843137,10,2017,"portola",2017-10-01
"353",353,"10 2017 potrero hill",5.3681524359565,10,2017,"potrero hill",2017-10-01
"354",354,"10 2017 russian hill",5.28774239500046,10,2017,"russian hill",2017-10-01
"355",355,"10 2017 san francisco",2.99319727891156,10,2017,"san francisco",2017-10-01
"356",356,"10 2017 sea cliff",2.96819787985866,10,2017,"sea cliff",2017-10-01
"357",357,"10 2017 SOMA / south beach",5.08792122350959,10,2017,"SOMA / south beach",2017-10-01
"358",358,"10 2017 tenderloin",4.68274677411438,10,2017,"tenderloin",2017-10-01
"359",359,"10 2017 USF / anza vista",3.66666666666667,10,2017,"USF / anza vista",2017-10-01
"360",360,"11 2011 alamo square",3.23094068184801,11,2011,"alamo square",2011-11-01
"361",361,"11 2011 bayview",1.99257478632479,11,2011,"bayview",2011-11-01
"362",362,"11 2011 bernal",2.56885592059183,11,2011,"bernal",2011-11-01
"363",363,"11 2011 candlestick point",2.34454267303451,11,2011,"candlestick point",2011-11-01
"364",364,"11 2011 castro",3.39948303183647,11,2011,"castro",2011-11-01
"365",365,"11 2011 CCSF",2.11678832116788,11,2011,"CCSF",2011-11-01
"366",366,"11 2011 civic / van ness",3.5093154833051,11,2011,"civic / van ness",2011-11-01
"367",367,"11 2011 cole valley",2.79512939752898,11,2011,"cole valley",2011-11-01
"368",368,"11 2011 diamond heights",2.85039588153488,11,2011,"diamond heights",2011-11-01
"369",369,"11 2011 downtown",2.52925155137659,11,2011,"downtown",2011-11-01
"370",370,"11 2011 excelsior / outer mission",1.85369295575217,11,2011,"excelsior / outer mission",2011-11-01
"371",371,"11 2011 financial district",5.05748827573738,11,2011,"financial district",2011-11-01
"372",372,"11 2011 glen park",1.99256189716716,11,2011,"glen park",2011-11-01
"373",373,"11 2011 haight ashbury",3.12210193994953,11,2011,"haight ashbury",2011-11-01
"374",374,"11 2011 hayes valley",3.27465330516834,11,2011,"hayes valley",2011-11-01
"375",375,"11 2011 ingleside",2.20612300237614,11,2011,"ingleside",2011-11-01
"376",376,"11 2011 inner richmond",2.15208365442412,11,2011,"inner richmond",2011-11-01
"377",377,"11 2011 inner sunset",2.91927617993633,11,2011,"inner sunset",2011-11-01
"378",378,"11 2011 lakeshore",2.67857142857143,11,2011,"lakeshore",2011-11-01
"379",379,"11 2011 lower haight",2.87561553030303,11,2011,"lower haight",2011-11-01
"380",380,"11 2011 lower pac hts",3.00101374987737,11,2011,"lower pac hts",2011-11-01
"381",381,"11 2011 marina / cow hollow",3.29394226626363,11,2011,"marina / cow hollow",2011-11-01
"382",382,"11 2011 mission district",2.62053594817468,11,2011,"mission district",2011-11-01
"383",383,"11 2011 nob hill",3.50700631214278,11,2011,"nob hill",2011-11-01
"384",384,"11 2011 noe valley",2.97650960986085,11,2011,"noe valley",2011-11-01
"385",385,"11 2011 north beach / telegraph hill",3.28726197960023,11,2011,"north beach / telegraph hill",2011-11-01
"386",386,"11 2011 outer richmond",2.57467532467532,11,2011,"outer richmond",2011-11-01
"387",387,"11 2011 outer sunset",2.04658950850075,11,2011,"outer sunset",2011-11-01
"388",388,"11 2011 pacific heights",3.16051553009373,11,2011,"pacific heights",2011-11-01
"389",389,"11 2011 parkside",2.28803022416089,11,2011,"parkside",2011-11-01
"390",390,"11 2011 portola",2.14512720027643,11,2011,"portola",2011-11-01
"391",391,"11 2011 potrero hill",2.98759024240597,11,2011,"potrero hill",2011-11-01
"392",392,"11 2011 presidio hts / laurel hts / lake st",2.84589785146077,11,2011,"presidio hts / laurel hts / lake st",2011-11-01
"393",393,"11 2011 russian hill",3.17354582146011,11,2011,"russian hill",2011-11-01
"394",394,"11 2011 san francisco",1.7152406514763,11,2011,"san francisco",2011-11-01
"395",395,"11 2011 sea cliff",2.291623220215,11,2011,"sea cliff",2011-11-01
"396",396,"11 2011 SOMA / south beach",3.91687840107063,11,2011,"SOMA / south beach",2011-11-01
"397",397,"11 2011 tenderloin",2.79652777777778,11,2011,"tenderloin",2011-11-01
"398",398,"11 2011 twin peaks",2.2,11,2011,"twin peaks",2011-11-01
"399",399,"11 2011 USF / anza vista",2.73208061301444,11,2011,"USF / anza vista",2011-11-01
"400",400,"11 2011 visitacion valley",1.73189655172414,11,2011,"visitacion valley",2011-11-01
"401",401,"11 2011 west portal / forest hills",2.07584175084175,11,2011,"west portal / forest hills",2011-11-01
"402",402,"11 2013 civic / van ness",3.98888888888889,11,2013,"civic / van ness",2013-11-01
"403",403,"11 2013 cole valley",2.28846153846154,11,2013,"cole valley",2013-11-01
"404",404,"11 2013 financial district",3.98421052631579,11,2013,"financial district",2013-11-01
"405",405,"11 2013 lower haight",2.72636363636364,11,2013,"lower haight",2013-11-01
"406",406,"11 2013 mission district",1.96629213483146,11,2013,"mission district",2013-11-01
"407",407,"11 2013 nob hill",4.35,11,2013,"nob hill",2013-11-01
"408",408,"11 2013 north beach / telegraph hill",3.39420654911839,11,2013,"north beach / telegraph hill",2013-11-01
"409",409,"11 2013 outer sunset",2.1227503461006,11,2013,"outer sunset",2013-11-01
"410",410,"11 2013 sea cliff",1.92571644042232,11,2013,"sea cliff",2013-11-01
"411",411,"11 2013 SOMA / south beach",3.05555555555555,11,2013,"SOMA / south beach",2013-11-01
"412",412,"11 2013 tenderloin",3.98888888888889,11,2013,"tenderloin",2013-11-01
"413",413,"11 2013 twin peaks",3.20610687022901,11,2013,"twin peaks",2013-11-01
"414",414,"11 2014 san francisco",2.98372093023256,11,2014,"san francisco",2014-11-01
"415",415,"11 2015 alamo square",3.8985294117647,11,2015,"alamo square",2015-11-01
"416",416,"11 2015 bayview",3.82559941584139,11,2015,"bayview",2015-11-01
"417",417,"11 2015 bernal",2.75555555555556,11,2015,"bernal",2015-11-01
"418",418,"11 2015 castro",4.70767528471411,11,2015,"castro",2015-11-01
"419",419,"11 2015 civic / van ness",4.76266282949538,11,2015,"civic / van ness",2015-11-01
"420",420,"11 2015 cole valley",4.55229955229955,11,2015,"cole valley",2015-11-01
"421",421,"11 2015 diamond heights",4.7522821381517,11,2015,"diamond heights",2015-11-01
"422",422,"11 2015 downtown",5.70178571428572,11,2015,"downtown",2015-11-01
"423",423,"11 2015 excelsior / outer mission",2.54381443298969,11,2015,"excelsior / outer mission",2015-11-01
"424",424,"11 2015 financial district",3.94843833904286,11,2015,"financial district",2015-11-01
"425",425,"11 2015 glen park",3.21326096788783,11,2015,"glen park",2015-11-01
"426",426,"11 2015 haight ashbury",2.33526956914053,11,2015,"haight ashbury",2015-11-01
"427",427,"11 2015 ingleside",3.78771686987245,11,2015,"ingleside",2015-11-01
"428",428,"11 2015 inner richmond",3.85714285714286,11,2015,"inner richmond",2015-11-01
"429",429,"11 2015 inner sunset",4.0498244013824,11,2015,"inner sunset",2015-11-01
"430",430,"11 2015 lower haight",3.99333333333333,11,2015,"lower haight",2015-11-01
"431",431,"11 2015 lower pac hts",4.98386800278553,11,2015,"lower pac hts",2015-11-01
"432",432,"11 2015 marina / cow hollow",5.01696428571428,11,2015,"marina / cow hollow",2015-11-01
"433",433,"11 2015 mission district",4.49067562788491,11,2015,"mission district",2015-11-01
"434",434,"11 2015 nob hill",5.27316150271539,11,2015,"nob hill",2015-11-01
"435",435,"11 2015 noe valley",4.32776526526527,11,2015,"noe valley",2015-11-01
"436",436,"11 2015 NOPA",5.64285714285714,11,2015,"NOPA",2015-11-01
"437",437,"11 2015 north beach / telegraph hill",4.71085714285715,11,2015,"north beach / telegraph hill",2015-11-01
"438",438,"11 2015 outer sunset",5.265625,11,2015,"outer sunset",2015-11-01
"439",439,"11 2015 pacific heights",4.47384252440482,11,2015,"pacific heights",2015-11-01
"440",440,"11 2015 parkside",5.5251572327044,11,2015,"parkside",2015-11-01
"441",441,"11 2015 portola",3.06517676767677,11,2015,"portola",2015-11-01
"442",442,"11 2015 potrero hill",3.90280231540863,11,2015,"potrero hill",2015-11-01
"443",443,"11 2015 presidio hts / laurel hts / lake st",3.65625,11,2015,"presidio hts / laurel hts / lake st",2015-11-01
"444",444,"11 2015 russian hill",4.24755434782609,11,2015,"russian hill",2015-11-01
"445",445,"11 2015 san francisco",2.59719733728877,11,2015,"san francisco",2015-11-01
"446",446,"11 2015 sea cliff",3.23816286748618,11,2015,"sea cliff",2015-11-01
"447",447,"11 2015 SOMA / south beach",4.95643451119144,11,2015,"SOMA / south beach",2015-11-01
"448",448,"11 2015 tenderloin",5.13366458132487,11,2015,"tenderloin",2015-11-01
"449",449,"11 2015 west portal / forest hills",2.7,11,2015,"west portal / forest hills",2015-11-01
"450",450,"11 2015 western addition",4.82011633662238,11,2015,"western addition",2015-11-01
"451",451,"11 2016 bernal",5.55555555555556,11,2016,"bernal",2016-11-01
"452",452,"11 2016 castro",4.64285714285714,11,2016,"castro",2016-11-01
"453",453,"11 2016 cole valley",3.20833333333333,11,2016,"cole valley",2016-11-01
"454",454,"11 2016 haight ashbury",5,11,2016,"haight ashbury",2016-11-01
"455",455,"11 2016 hayes valley",7.07456978967495,11,2016,"hayes valley",2016-11-01
"456",456,"11 2016 inner richmond",2.76923076923077,11,2016,"inner richmond",2016-11-01
"457",457,"11 2016 mission district",2.77222222222222,11,2016,"mission district",2016-11-01
"458",458,"11 2016 pacific heights",4.7222617962235,11,2016,"pacific heights",2016-11-01
"459",459,"11 2016 potrero hill",3.33333333333333,11,2016,"potrero hill",2016-11-01
"460",460,"11 2016 SOMA / south beach",5.52784495499126,11,2016,"SOMA / south beach",2016-11-01
"461",461,"11 2017 bernal",5.48,11,2017,"bernal",2017-11-01
"462",462,"11 2017 castro",4.98597069788309,11,2017,"castro",2017-11-01
"463",463,"11 2017 civic / van ness",3.25603681188788,11,2017,"civic / van ness",2017-11-01
"464",464,"11 2017 excelsior / outer mission",3.05555555555556,11,2017,"excelsior / outer mission",2017-11-01
"465",465,"11 2017 hayes valley",4.87878787878788,11,2017,"hayes valley",2017-11-01
"466",466,"11 2017 ingleside",2.94444444444444,11,2017,"ingleside",2017-11-01
"467",467,"11 2017 inner richmond",4.25,11,2017,"inner richmond",2017-11-01
"468",468,"11 2017 lower pac hts",5.74969068825911,11,2017,"lower pac hts",2017-11-01
"469",469,"11 2017 marina / cow hollow",3.1,11,2017,"marina / cow hollow",2017-11-01
"470",470,"11 2017 mission district",1.80378354597448,11,2017,"mission district",2017-11-01
"471",471,"11 2017 nob hill",4.85350618294257,11,2017,"nob hill",2017-11-01
"472",472,"11 2017 noe valley",8.16666666666667,11,2017,"noe valley",2017-11-01
"473",473,"11 2017 north beach / telegraph hill",5.66666666666667,11,2017,"north beach / telegraph hill",2017-11-01
"474",474,"11 2017 outer sunset",2.93055555555555,11,2017,"outer sunset",2017-11-01
"475",475,"11 2017 pacific heights",4.76216022889843,11,2017,"pacific heights",2017-11-01
"476",476,"11 2017 parkside",4.33333333333333,11,2017,"parkside",2017-11-01
"477",477,"11 2017 san francisco",2.96206706322556,11,2017,"san francisco",2017-11-01
"478",478,"11 2017 sea cliff",3.0625,11,2017,"sea cliff",2017-11-01
"479",479,"11 2017 SOMA / south beach",4.93654438646257,11,2017,"SOMA / south beach",2017-11-01
"480",480,"11 2017 visitacion valley",3.16221341119202,11,2017,"visitacion valley",2017-11-01
"481",481,"12 2011 alamo square",3.50990646865866,12,2011,"alamo square",2011-12-01
"482",482,"12 2011 bayview",1.50643939393939,12,2011,"bayview",2011-12-01
"483",483,"12 2011 bernal",2.75095150894371,12,2011,"bernal",2011-12-01
"484",484,"12 2011 candlestick point",2.36450261950685,12,2011,"candlestick point",2011-12-01
"485",485,"12 2011 castro",3.25523068812727,12,2011,"castro",2011-12-01
"486",486,"12 2011 CCSF",1.396875,12,2011,"CCSF",2011-12-01
"487",487,"12 2011 civic / van ness",3.77224996005495,12,2011,"civic / van ness",2011-12-01
"488",488,"12 2011 cole valley",4.62013888888889,12,2011,"cole valley",2011-12-01
"489",489,"12 2011 diamond heights",2.74431849791011,12,2011,"diamond heights",2011-12-01
"490",490,"12 2011 downtown",4.69879518072289,12,2011,"downtown",2011-12-01
"491",491,"12 2011 excelsior / outer mission",1.91272324398005,12,2011,"excelsior / outer mission",2011-12-01
"492",492,"12 2011 financial district",4.93427572719284,12,2011,"financial district",2011-12-01
"493",493,"12 2011 glen park",2.6838141025641,12,2011,"glen park",2011-12-01
"494",494,"12 2011 haight ashbury",2.5419710910233,12,2011,"haight ashbury",2011-12-01
"495",495,"12 2011 hayes valley",3.53174603174603,12,2011,"hayes valley",2011-12-01
"496",496,"12 2011 ingleside",2.43369192956388,12,2011,"ingleside",2011-12-01
"497",497,"12 2011 inner richmond",2.09031256024677,12,2011,"inner richmond",2011-12-01
"498",498,"12 2011 inner sunset",2.65065949297556,12,2011,"inner sunset",2011-12-01
"499",499,"12 2011 lakeshore",2.29545454545455,12,2011,"lakeshore",2011-12-01
"500",500,"12 2011 lower pac hts",3.78755649916921,12,2011,"lower pac hts",2011-12-01
"501",501,"12 2011 marina / cow hollow",3.30346122411586,12,2011,"marina / cow hollow",2011-12-01
"502",502,"12 2011 mission district",2.67264932383612,12,2011,"mission district",2011-12-01
"503",503,"12 2011 nob hill",3.56663836578687,12,2011,"nob hill",2011-12-01
"504",504,"12 2011 noe valley",2.68363779678437,12,2011,"noe valley",2011-12-01
"505",505,"12 2011 NOPA",2.83235294117647,12,2011,"NOPA",2011-12-01
"506",506,"12 2011 north beach / telegraph hill",4.2846050646358,12,2011,"north beach / telegraph hill",2011-12-01
"507",507,"12 2011 outer richmond",2.66666666666667,12,2011,"outer richmond",2011-12-01
"508",508,"12 2011 outer sunset",2.05265464577895,12,2011,"outer sunset",2011-12-01
"509",509,"12 2011 pacific heights",3.53916578946077,12,2011,"pacific heights",2011-12-01
"510",510,"12 2011 parkside",1.93056760703862,12,2011,"parkside",2011-12-01
"511",511,"12 2011 portola",2.71524834814309,12,2011,"portola",2011-12-01
"512",512,"12 2011 potrero hill",3.04073271146427,12,2011,"potrero hill",2011-12-01
"513",513,"12 2011 presidio hts / laurel hts / lake st",2.80244912521544,12,2011,"presidio hts / laurel hts / lake st",2011-12-01
"514",514,"12 2011 russian hill",3.40448232323232,12,2011,"russian hill",2011-12-01
"515",515,"12 2011 san francisco",1.95962459730402,12,2011,"san francisco",2011-12-01
"516",516,"12 2011 sea cliff",2.31497407344766,12,2011,"sea cliff",2011-12-01
"517",517,"12 2011 SOMA / south beach",3.9491219671812,12,2011,"SOMA / south beach",2011-12-01
"518",518,"12 2011 tenderloin",5.04667919799499,12,2011,"tenderloin",2011-12-01
"519",519,"12 2011 treasure island",0.666666666666667,12,2011,"treasure island",2011-12-01
"520",520,"12 2011 twin peaks",3.36444323061897,12,2011,"twin peaks",2011-12-01
"521",521,"12 2011 USF / anza vista",3.88700727133563,12,2011,"USF / anza vista",2011-12-01
"522",522,"12 2011 visitacion valley",1.89655172413793,12,2011,"visitacion valley",2011-12-01
"523",523,"12 2011 west portal / forest hills",1.49078947368421,12,2011,"west portal / forest hills",2011-12-01
"524",524,"12 2013 alamo square",3.44444444444444,12,2013,"alamo square",2013-12-01
"525",525,"12 2013 bayview",2.11082554517134,12,2013,"bayview",2013-12-01
"526",526,"12 2013 bernal",2.89024440323248,12,2013,"bernal",2013-12-01
"527",527,"12 2013 candlestick point",2.4252801992528,12,2013,"candlestick point",2013-12-01
"528",528,"12 2013 castro",4.5020130706922,12,2013,"castro",2013-12-01
"529",529,"12 2013 CCSF",2.71049835302113,12,2013,"CCSF",2013-12-01
"530",530,"12 2013 civic / van ness",4.31207350949516,12,2013,"civic / van ness",2013-12-01
"531",531,"12 2013 cole valley",4.00258413461539,12,2013,"cole valley",2013-12-01
"532",532,"12 2013 downtown",3.45035593855377,12,2013,"downtown",2013-12-01
"533",533,"12 2013 excelsior / outer mission",2.41699793044133,12,2013,"excelsior / outer mission",2013-12-01
"534",534,"12 2013 financial district",4.82967560805878,12,2013,"financial district",2013-12-01
"535",535,"12 2013 glen park",2.9639794168096,12,2013,"glen park",2013-12-01
"536",536,"12 2013 haight ashbury",3.9016480595428,12,2013,"haight ashbury",2013-12-01
"537",537,"12 2013 hayes valley",4.26327542257794,12,2013,"hayes valley",2013-12-01
"538",538,"12 2013 inner richmond",3.13375710229257,12,2013,"inner richmond",2013-12-01
"539",539,"12 2013 inner sunset",3.49616852164393,12,2013,"inner sunset",2013-12-01
"540",540,"12 2013 lower haight",4.9325074610865,12,2013,"lower haight",2013-12-01
"541",541,"12 2013 lower pac hts",4.07741821332995,12,2013,"lower pac hts",2013-12-01
"542",542,"12 2013 marina / cow hollow",3.77372078487182,12,2013,"marina / cow hollow",2013-12-01
"543",543,"12 2013 mission district",3.76610897734334,12,2013,"mission district",2013-12-01
"544",544,"12 2013 nob hill",4.45774795689608,12,2013,"nob hill",2013-12-01
"545",545,"12 2013 noe valley",3.14247071900803,12,2013,"noe valley",2013-12-01
"546",546,"12 2013 NOPA",3.00168219037782,12,2013,"NOPA",2013-12-01
"547",547,"12 2013 north beach / telegraph hill",3.32689195906211,12,2013,"north beach / telegraph hill",2013-12-01
"548",548,"12 2013 outer richmond",2.46875,12,2013,"outer richmond",2013-12-01
"549",549,"12 2013 outer sunset",2.77160912874404,12,2013,"outer sunset",2013-12-01
"550",550,"12 2013 pacific heights",4.21178139868518,12,2013,"pacific heights",2013-12-01
"551",551,"12 2013 parkside",2.60811686601591,12,2013,"parkside",2013-12-01
"552",552,"12 2013 portola",2.45656883298393,12,2013,"portola",2013-12-01
"553",553,"12 2013 potrero hill",3.4062725644479,12,2013,"potrero hill",2013-12-01
"554",554,"12 2013 presidio hts / laurel hts / lake st",3.61256885079031,12,2013,"presidio hts / laurel hts / lake st",2013-12-01
"555",555,"12 2013 russian hill",4.13798701298701,12,2013,"russian hill",2013-12-01
"556",556,"12 2013 san francisco",2.71049993481678,12,2013,"san francisco",2013-12-01
"557",557,"12 2013 sea cliff",2.24771376321201,12,2013,"sea cliff",2013-12-01
"558",558,"12 2013 SOMA / south beach",4.29394392562921,12,2013,"SOMA / south beach",2013-12-01
"559",559,"12 2013 twin peaks",3.39435676709708,12,2013,"twin peaks",2013-12-01
"560",560,"12 2013 visitacion valley",2.30232558139535,12,2013,"visitacion valley",2013-12-01
"561",561,"12 2013 west portal / forest hills",2.30936651262408,12,2013,"west portal / forest hills",2013-12-01
"562",562,"12 2013 western addition",4.45645458960522,12,2013,"western addition",2013-12-01
"563",563,"12 2014 bayview",2.75476190476191,12,2014,"bayview",2014-12-01
"564",564,"12 2014 bernal",3.625,12,2014,"bernal",2014-12-01
"565",565,"12 2014 castro",4.83027424988788,12,2014,"castro",2014-12-01
"566",566,"12 2014 cole valley",3.77083333333333,12,2014,"cole valley",2014-12-01
"567",567,"12 2014 financial district",3.34735576923077,12,2014,"financial district",2014-12-01
"568",568,"12 2014 glen park",2.19583333333333,12,2014,"glen park",2014-12-01
"569",569,"12 2014 haight ashbury",3.67894736842105,12,2014,"haight ashbury",2014-12-01
"570",570,"12 2014 hayes valley",2.93577981651376,12,2014,"hayes valley",2014-12-01
"571",571,"12 2014 ingleside",3.20555555555555,12,2014,"ingleside",2014-12-01
"572",572,"12 2014 inner richmond",3.62727272727273,12,2014,"inner richmond",2014-12-01
"573",573,"12 2014 lower pac hts",3.94751165627802,12,2014,"lower pac hts",2014-12-01
"574",574,"12 2014 marina / cow hollow",5.11904761904762,12,2014,"marina / cow hollow",2014-12-01
"575",575,"12 2014 mission district",3.66914575866189,12,2014,"mission district",2014-12-01
"576",576,"12 2014 nob hill",4.52395969777245,12,2014,"nob hill",2014-12-01
"577",577,"12 2014 noe valley",3.88157894736842,12,2014,"noe valley",2014-12-01
"578",578,"12 2014 north beach / telegraph hill",5.17230392156863,12,2014,"north beach / telegraph hill",2014-12-01
"579",579,"12 2014 outer sunset",3.25196078431372,12,2014,"outer sunset",2014-12-01
"580",580,"12 2014 pacific heights",4.29304716368721,12,2014,"pacific heights",2014-12-01
"581",581,"12 2014 parkside",2.56640876853643,12,2014,"parkside",2014-12-01
"582",582,"12 2014 presidio hts / laurel hts / lake st",5.66666666666667,12,2014,"presidio hts / laurel hts / lake st",2014-12-01
"583",583,"12 2014 russian hill",4.44444444444444,12,2014,"russian hill",2014-12-01
"584",584,"12 2014 san francisco",1.57482954545455,12,2014,"san francisco",2014-12-01
"585",585,"12 2014 SOMA / south beach",4.40117992337008,12,2014,"SOMA / south beach",2014-12-01
"586",586,"12 2014 USF / anza vista",4.16666666666667,12,2014,"USF / anza vista",2014-12-01
"587",587,"12 2015 alamo square",4.98817640692641,12,2015,"alamo square",2015-12-01
"588",588,"12 2015 bayview",3.15330343947333,12,2015,"bayview",2015-12-01
"589",589,"12 2015 bernal",5.13989898989899,12,2015,"bernal",2015-12-01
"590",590,"12 2015 castro",3.77650953874055,12,2015,"castro",2015-12-01
"591",591,"12 2015 civic / van ness",4.88499175407757,12,2015,"civic / van ness",2015-12-01
"592",592,"12 2015 cole valley",4.42395197395197,12,2015,"cole valley",2015-12-01
"593",593,"12 2015 diamond heights",3.7295405488745,12,2015,"diamond heights",2015-12-01
"594",594,"12 2015 excelsior / outer mission",4.30555555555556,12,2015,"excelsior / outer mission",2015-12-01
"595",595,"12 2015 financial district",4.75279823990967,12,2015,"financial district",2015-12-01
"596",596,"12 2015 glen park",3.60271708683473,12,2015,"glen park",2015-12-01
"597",597,"12 2015 haight ashbury",3.58789280036339,12,2015,"haight ashbury",2015-12-01
"598",598,"12 2015 hayes valley",5.08708741437407,12,2015,"hayes valley",2015-12-01
"599",599,"12 2015 ingleside",3.57303748623093,12,2015,"ingleside",2015-12-01
"600",600,"12 2015 inner richmond",2.97514880952381,12,2015,"inner richmond",2015-12-01
"601",601,"12 2015 inner sunset",3.93825971821956,12,2015,"inner sunset",2015-12-01
"602",602,"12 2015 lower haight",5.9047095537244,12,2015,"lower haight",2015-12-01
"603",603,"12 2015 lower pac hts",4.98784688995216,12,2015,"lower pac hts",2015-12-01
"604",604,"12 2015 marina / cow hollow",4.1868454385121,12,2015,"marina / cow hollow",2015-12-01
"605",605,"12 2015 mission district",5.08536985445135,12,2015,"mission district",2015-12-01
"606",606,"12 2015 nob hill",6.4201792584501,12,2015,"nob hill",2015-12-01
"607",607,"12 2015 noe valley",4.40164111334059,12,2015,"noe valley",2015-12-01
"608",608,"12 2015 NOPA",5.64285714285714,12,2015,"NOPA",2015-12-01
"609",609,"12 2015 north beach / telegraph hill",4.93121693121693,12,2015,"north beach / telegraph hill",2015-12-01
"610",610,"12 2015 outer sunset",3.28767660910518,12,2015,"outer sunset",2015-12-01
"611",611,"12 2015 pacific heights",4.49560714683452,12,2015,"pacific heights",2015-12-01
"612",612,"12 2015 parkside",3.46839829633454,12,2015,"parkside",2015-12-01
"613",613,"12 2015 portola",3.61969789441563,12,2015,"portola",2015-12-01
"614",614,"12 2015 potrero hill",4.54505166915718,12,2015,"potrero hill",2015-12-01
"615",615,"12 2015 presidio hts / laurel hts / lake st",3.78169330669331,12,2015,"presidio hts / laurel hts / lake st",2015-12-01
"616",616,"12 2015 russian hill",5.26205781751493,12,2015,"russian hill",2015-12-01
"617",617,"12 2015 san francisco",2.71901073666986,12,2015,"san francisco",2015-12-01
"618",618,"12 2015 sea cliff",5.00868055555556,12,2015,"sea cliff",2015-12-01
"619",619,"12 2015 SOMA / south beach",5.07073798629512,12,2015,"SOMA / south beach",2015-12-01
"620",620,"12 2015 tenderloin",4.95357839118835,12,2015,"tenderloin",2015-12-01
"621",621,"12 2015 USF / anza vista",3.91239316239316,12,2015,"USF / anza vista",2015-12-01
"622",622,"12 2015 visitacion valley",2.51339285714285,12,2015,"visitacion valley",2015-12-01
"623",623,"12 2017 alamo square",4.9875,12,2017,"alamo square",2017-12-01
"624",624,"12 2017 bayview",3.83908831343329,12,2017,"bayview",2017-12-01
"625",625,"12 2017 hayes valley",8.59375,12,2017,"hayes valley",2017-12-01
"626",626,"12 2017 inner sunset",4.33333333333333,12,2017,"inner sunset",2017-12-01
"627",627,"12 2017 lower pac hts",4.88181818181818,12,2017,"lower pac hts",2017-12-01
"628",628,"12 2017 mission district",3.97824446407264,12,2017,"mission district",2017-12-01
"629",629,"12 2017 nob hill",5.29347826086957,12,2017,"nob hill",2017-12-01
"630",630,"12 2017 north beach / telegraph hill",5.46666666666667,12,2017,"north beach / telegraph hill",2017-12-01
"631",631,"12 2017 potrero hill",7.05715139507261,12,2017,"potrero hill",2017-12-01
"632",632,"12 2017 russian hill",2.49642857142857,12,2017,"russian hill",2017-12-01
"633",633,"12 2017 SOMA / south beach",5.27800658548341,12,2017,"SOMA / south beach",2017-12-01
"634",634,"2 2012 alamo square",3.49060495950854,2,2012,"alamo square",2012-02-01
"635",635,"2 2012 bayview",1.79901960784313,2,2012,"bayview",2012-02-01
