"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"6980","0 Block Of Park  Street","06/01/2015","Bernal Heights","(37.7366750646127, -122.42485775245915)"
"6981","400 Block Of Folsom  Street","09/30/2021","Financial District/South Beach","(37.78750325657008, -122.39422159849654)"
"6982","1400 Block Of Newcomb  Avenue","01/19/2021","Bayview Hunters Point","(37.73363697553819, -122.3869775807631)"
"6983","1000 Block Of Bush  Street","11/10/2020","Nob Hill","(37.789424585381944, -122.41455015776054)"
"6984","700 Block Of Cole  Street","01/13/2015","Haight Ashbury","(37.76719697858177, -122.45024007762385)"
"6985","1400 Block Of California  Street","05/14/2012","Nob Hill","(37.790880624746706, -122.4182137756094)"
"6987","0 Block Of 06th  Street","10/22/2020","South of Market","(37.78157622989487, -122.40946935271424)"
"6988","800 Block Of Mcallister  Street","06/15/2022","Western Addition","(37.7794657893498, -122.42518493663194)"
"6991","400 Block Of 03rd  Avenue","11/02/2015","Inner Richmond","(37.7801974701405, -122.46099704771521)"
"6992","1100 Block Of Castro  Street","06/21/2012","Noe Valley","(37.75249169583008, -122.43420127022607)"
"6993","600 Block Of Tennessee  Street","02/04/2016","Potrero Hill","(37.76362316218734, -122.38979238832017)"
"6994","1600 Block Of Grove  Street","05/06/2015","Lone Mountain/USF","(37.77519080985259, -122.44376915448481)"
"6995","600 Block Of Lombard  Street","12/11/2018","North Beach","(37.80293080227192, -122.41221143403293)"
"6996","1100 Block Of Mission  Street","05/17/2022","South of Market","(37.77775137475284, -122.41278551996157)"
"6999","3600 Block Of 20th  Street","12/06/2011","Mission","(37.758431535388056, -122.42238013242108)"
"7000","0 Block Of Collingwood  Street","10/11/2012","Castro/Upper Market","(37.76148081097634, -122.43617795616711)"
"7001","1000 Block Of Valencia  Street","06/16/2016","Mission","(37.75650190808104, -122.42107934160771)"
"7002","2500 Block Of Pine  Street","10/11/2016","Pacific Heights","(37.787428705723535, -122.43775850897758)"
"7003","400 Block Of Eddy  Street","11/29/2012","Tenderloin",""
"7006","2600 Block Of Judah  Street","07/17/2012","Sunset/Parkside","(37.76111046735795, -122.49038810885273)"
"7007","2500 Block Of Sutter  Street","07/28/2021","Japantown","(37.784931294833584, -122.44235986290973)"
"7009","1800 Block Of Gough  Street","05/15/2013","Pacific Heights","(37.79041315595907, -122.42570909855374)"
"7010","3500 Block Of 20th  Street","03/06/2018","Mission","(37.75856482463206, -122.42017407474351)"
"7011","0 Block Of Oakwood  Street","09/30/2013","Mission","(37.76069233926201, -122.42494402561441)"
"7012","700 Block Of Stockton  Street","05/14/2012","Chinatown","(37.79249013754507, -122.40756810596636)"
"7013","800 Block Of Gonzalez  Drive","03/12/2018","Lakeshore","(37.71755759923482, -122.48237404007607)"
"7014","2500 Block Of San Bruno  Avenue","09/13/2018","Portola","(37.72943609810332, -122.40434615938618)"
"7015","600 Block Of Madrid  Street","09/02/2016","Excelsior","(37.719285303815184, -122.43457086659573)"
"7017","3400 Block Of 20th  Street","06/10/2021","Mission","(37.758731252295235, -122.41741859444052)"
"7018","1300 Block Of Chestnut  Street","06/10/2014","Marina","(37.80217642951457, -122.42555430379271)"
"7019","1100 Block Of Hayes  Street","10/24/2017","Hayes Valley","(37.775311397931226, -122.4353061432916)"
"7021","700 Block Of Geary  Street","07/01/2022","Tenderloin","(37.786415021181135, -122.41562788792845)"
"7022","1400 Block Of Valencia  Street","07/18/2016","Mission","(37.74970617936658, -122.42043035854046)"
"7023","2900 Block Of Buchanan  Street","05/22/2018","Marina","(37.79704084999995, -122.43211009469826)"
"7024","100 Block Of Marview  Way","02/07/2014","Twin Peaks","(37.75490174110413, -122.44869690994489)"
"7025","800 Block Of Shotwell  Street","03/16/2020","Mission","(37.75483382229686, -122.41539670763628)"
"7026","400 Block Of 44th  Avenue","10/29/2019","Outer Richmond","(37.780438255033225, -122.50518046589197)"
"7027","1800 Block Of 19th  Avenue","06/02/2016","Sunset/Parkside","(37.753307382977106, -122.47642207602598)"
"7028","100 Block Of Wilson  Street","07/03/2017","Outer Mission","(37.70849045215915, -122.4602716968581)"
"7029","2000 Block Of Broadway  Street","06/11/2012","Pacific Heights","(37.79478960347494, -122.43081157235612)"
"7030","300 Block Of Turk  Street","05/19/2014","Tenderloin","(37.78268974159542, -122.4148738201106)"
"7031","0 Block Of Chumasero  Drive","02/25/2021","Lakeshore","(37.713278458267844, -122.47292413080851)"
"7032","200 Block Of Broad  Street","12/29/2017","Oceanview/Merced/Ingleside","(37.71316112116912, -122.46079671679787)"
"7033","1000 Block Of Shotwell  Street","06/07/2017","Mission","(37.75163831433032, -122.41509330984468)"
"7034","500 Block Of Arballo  Drive","07/18/2017","Lakeshore","(37.717927839342465, -122.48318250296398)"
"7035","0 Block Of Minerva  Street","05/10/2013","Oceanview/Merced/Ingleside","(37.71574484117511, -122.45479719282474)"
"7037","300 Block Of 28th  Street","05/28/2015","Noe Valley","(37.745098703105214, -122.43014653896965)"
"7038","4100 Block Of Geary  Boulevard","10/04/2017","Inner Richmond","(37.78112065974959, -122.46374904321232)"
"7039","500 Block Of Guerrero  Street","04/21/2021","Mission","(37.76275572227502, -122.42396791569011)"
"7040","1700 Block Of 09th  Avenue","04/29/2021","Inner Sunset","(37.75564560419271, -122.46572598869892)"
"7041","1500 Block Of Bay  Street","10/16/2014","Marina","(37.80316181244228, -122.4325036652468)"
"7042","300 Block Of Douglass  Street","08/08/2018","Twin Peaks","(37.7587453096845, -122.43914086335388)"
"7043","100 Block Of Porter  Street","09/26/2016","Bernal Heights","(37.73377894492994, -122.41821044309071)"
"7044","300 Block Of Guerrero  Street","11/23/2020","Mission","(37.76559131101002, -122.42422865452248)"
"7045","100 Block Of Bridgeview  Drive","10/09/2018","Bayview Hunters Point","(37.735395658480634, -122.39676003588971)"
"7046","0 Block Of Bannam  Place","09/11/2015","North Beach","(37.80024641150467, -122.40782267487837)"
"7047","800 Block Of Vallejo  Street","02/09/2012","Chinatown","(37.79826897405735, -122.4112760233655)"
"7048","1500 Block Of Kirkwood  Avenue","01/09/2015","Bayview Hunters Point","(37.73753088926744, -122.3888390994711)"
"7050","1400 Block Of Valencia  Street","04/19/2012","Mission","(37.74970617936658, -122.42043035854046)"
"7051","900 Block Of Ashbury  Street","12/09/2011","Haight Ashbury","(37.764683289686715, -122.44585864328167)"
"7053","400 Block Of Ofarrell  Street","03/14/2016","Tenderloin","(37.78594458144488, -122.4117365460979)"
"7054","0 Block Of Chumasero  Drive","02/21/2013","Lakeshore","(37.713278458267844, -122.47292413080851)"
"7057","1400 Block Of Jefferson  Street","03/29/2012","Marina","(37.80557963124556, -122.436408453441)"
"7058","1900 Block Of Hayes  Street","01/16/2018","Lone Mountain/USF","(37.773628812799295, -122.4485069177027)"
"7060","0 Block Of Ordway  Street","06/03/2014","Portola","(37.72029528506858, -122.40116787264611)"
"7061","0 Block Of Elizabeth  Street","05/22/2017","Mission","(37.75281685446604, -122.42222754054929)"
"7062","500 Block Of Post  Street","02/20/2015","Nob Hill","(37.78797717959756, -122.41087808334655)"
"7063","700 Block Of Ofarrell  Street","12/27/2011","Tenderloin","(37.78527159669424, -122.41708056008484)"
"7064","700 Block Of Gonzalez  Drive","09/11/2019","Lakeshore","(37.71746528654667, -122.48062777506037)"
"7065","1500 Block Of 28th  Avenue","01/13/2012","Sunset/Parkside","(37.758474239822334, -122.48644678796087)"
"7067","200 Block Of Turk  Street","09/03/2020","Tenderloin","(37.7828992640006, -122.41323275752869)"
"7069","0 Block Of Patton  Street","04/21/2017","Bernal Heights","(37.7378976456843, -122.42306955361207)"
"7070","0 Block Of Liberty  Street","12/30/2016","Mission","(37.757635745583926, -122.4222805621146)"
"7072","1900 Block Of Jefferson  Street","01/29/2013","Marina","(37.80453178887248, -122.44462559989672)"
"7073","900 Block Of Franklin  Street","04/25/2014","Western Addition","(37.783385261801406, -122.42260526389767)"
"7074","200 Block Of Plymouth  Avenue","08/15/2014","Oceanview/Merced/Ingleside","(37.71275660161, -122.45604923819928)"
"7075","1000 Block Of Howard  Street","08/25/2017","South of Market","(37.77863811092831, -122.40855213426335)"
"7076","4100 Block Of Lincoln  Way","04/13/2015","Sunset/Parkside","(37.76429733408472, -122.50243547111282)"
"7080","0 Block Of Turk  Street","07/05/2016","Tenderloin","(37.78333200817521, -122.40984274169635)"
"7081","1200 Block Of Taylor  Street","01/20/2021","Nob Hill","(37.793876497108386, -122.41292014809687)"
"7082","2300 Block Of Mission  Street","09/23/2021","Mission","(37.759433961496896, -122.41912932518183)"
"7083","2200 Block Of Ocean  Avenue","06/14/2013","West of Twin Peaks","(37.72802477336629, -122.46759193014175)"
"7084","900 Block Of Valencia  Street","04/22/2015","Mission","(37.7580999635448, -122.42123279750454)"
"7085","500 Block Of Jessie  Street","05/06/2020","South of Market","(37.781024140517616, -122.4097185671131)"
"7089","800 Block Of 30th  Avenue","03/31/2017","Outer Richmond","(37.77325873444107, -122.48960965905074)"
"7090","900 Block Of Silliman  Street","12/11/2014","Portola","(37.72878636190952, -122.41446333950107)"
"7091","3500 Block Of Market  Street","01/20/2017","Twin Peaks","(37.75659354515758, -122.44154309432086)"
"7092","500 Block Of Capp  Street","05/14/2014","Mission","(37.757899602868584, -122.4178883027015)"
"7093","1000 Block Of Howard  Street","01/27/2022","South of Market","(37.77952868305713, -122.40742528664694)"
"7094","3800 Block Of Sacramento  Street","10/20/2016","Presidio Heights","(37.787032608973, -122.45605543557637)"
"7095","500 Block Of 05th  Avenue","04/07/2014","Inner Richmond","(37.77821067227364, -122.46300848327192)"
"7097","0 Block Of Flood  Avenue","12/08/2016","West of Twin Peaks","(37.7299151418777, -122.44133760180951)"
"7099","2700 Block Of Bryant  Street","02/21/2013","Mission","(37.750400719256014, -122.40890156304766)"
"7100","2100 Block Of Taylor  Street","07/26/2017","Russian Hill","(37.802154866057435, -122.4145867721685)"
"7101","1200 Block Of 45th  Avenue","05/28/2019","Sunset/Parkside","(37.76327343952831, -122.50505389064227)"
"7102","1700 Block Of Washington  Street","06/20/2016","Russian Hill","(37.79315393701967, -122.42205059320261)"
"7103","600 Block Of Arguello  Boulevard","01/07/2021","Lone Mountain/USF","(37.777631133016754, -122.45860926261109)"
"7104","400 Block Of Vidal  Drive","05/20/2019","Lakeshore","(37.716714019105574, -122.48478445457852)"
"7105","0 Block Of Pinto  Avenue","03/25/2013","Lakeshore","(37.72042448777224, -122.48218456587881)"
"7106","300 Block Of Turk  Street","09/15/2015","Tenderloin","(37.78268974159542, -122.4148738201106)"
"7107","200 Block Of Upper  Terrace","09/19/2012","Castro/Upper Market","(37.76289014877516, -122.44512234673188)"
"7110","1900 Block Of Fell  Street","03/13/2014","Golden Gate Park","(37.77247329221763, -122.44996494045414)"
"7112","100 Block Of Gaven  Street","04/28/2017","Portola","(37.73337428422803, -122.40861954056903)"
"7113","500 Block Of Scott  Street","01/23/2015","Hayes Valley","(37.77474130436626, -122.43603464456916)"
"7115","1700 Block Of Mission  Street","05/09/2012","Mission","(37.76865955026741, -122.42000680289334)"
"7116","1100 Block Of Lombard  Street","12/21/2012","Russian Hill","(37.80189251310479, -122.42044237427359)"
"7119","400 Block Of Persia  Avenue","09/03/2015","Excelsior","(37.72142801477255, -122.43240573713138)"
"7120","300 Block Of Alemany  Boulevard","11/28/2018","Bernal Heights","(37.73402403251938, -122.41233286011852)"
"7121","0 Block Of Josepha  Avenue","02/28/2020","Lakeshore","(37.71671261672329, -122.47761144671514)"
"7122","2300 Block Of Mission  Street","07/03/2017","Mission","(37.759433961496896, -122.41912932518183)"
"7123","1000 Block Of Montgomery  Street","01/05/2018","North Beach","(37.798697593549065, -122.40395807555025)"
"7124","1400 Block Of Oakdale  Avenue","07/25/2017","Bayview Hunters Point","(37.733000179958886, -122.38755034400141)"
"7125","1700 Block Of Mason  Street","03/16/2021","Russian Hill","(37.799406899889945, -122.41234558579508)"
"7126","600 Block Of Broadway  Street","11/01/2011","Chinatown","(37.79772493377946, -122.40781750614997)"
"7127","0 Block Of Turk  Street","06/21/2019","Tenderloin","(37.78333200817521, -122.40984274169635)"
"7128","5800 Block Of California  Street","11/21/2018","Outer Richmond","(37.78410098215345, -122.48018811131946)"
"7129","600 Block Of Shrader  Street","12/08/2016","Haight Ashbury","(37.7689120950517, -122.45177083037106)"
"7130","2300 Block Of 15th  Street","09/19/2016","Castro/Upper Market","(37.76567668344793, -122.43629180301441)"
"7131","1200 Block Of Great  Highway","07/02/2021","Sunset/Parkside","(37.76304798387992, -122.50973316197647)"
"7132","1600 Block Of Sutter  Street","06/25/2014","Japantown","(37.786818663110914, -122.42750121142514)"
"7133","1400 Block Of Oakdale  Avenue","02/15/2017","Bayview Hunters Point","(37.733000179958886, -122.38755034400141)"
"7134","400 Block Of Utah  Street","06/08/2015","Potrero Hill","(37.76390077173509, -122.40636736334535)"
"7135","500 Block Of Campbell  Avenue","09/27/2017","Visitacion Valley","(37.71553988077617, -122.40724992120943)"
"7136","0 Block Of Buena Vista  Terrace","01/12/2015","Castro/Upper Market","(37.76808343232772, -122.43828688236545)"
"7138","3100 Block Of 24th  Street","08/21/2018","Mission","(37.752472857795375, -122.41462916181575)"
"7140","3600 Block Of 19th  Street","07/15/2021","Mission","(37.75986156816818, -122.42539175058236)"
"7141","200 Block Of North Point  Street","11/18/2019","North Beach","(37.80686049895033, -122.4113194911496)"
"7142","1000 Block Of Bush  Street","06/29/2020","Nob Hill","(37.789424585381944, -122.41455015776054)"
"7144","900 Block Of San Jose  Avenue","10/12/2018","Glen Park","(37.74008179244885, -122.42421374560465)"
"7146","100 Block Of Collingwood  Street","03/04/2020","Castro/Upper Market","(37.76002332949724, -122.43603540285699)"
"7148","200 Block Of 17th  Avenue","06/06/2012","Outer Richmond","(37.78333853945455, -122.47637167566492)"
"7149","4400 Block Of 23rd  Avenue","05/09/2014","Noe Valley","(37.75243912295147, -122.44164910516253)"
"7150","100 Block Of Sanchez  Street","08/14/2015","Castro/Upper Market","(37.76719572093525, -122.43115280519719)"
"7151","0 Block Of Dakota  Street","05/04/2022","Potrero Hill","(37.75359666016053, -122.39557928741907)"
"7152","900 Block Of Pine  Street","02/08/2019","Nob Hill","(37.790856965652736, -122.41081044919754)"
"7153","100 Block Of Russia  Avenue","01/18/2022","Excelsior","(37.72101827622632, -122.43598462553197)"
"7154","100 Block Of Hyde  Street","02/07/2022","Tenderloin","(37.78211964678046, -122.41559952501301)"
"7156","600 Block Of Ofarrell  Street","08/29/2014","Tenderloin","(37.78555715333075, -122.41481861683604)"
"7158","400 Block Of 19th  Avenue","01/24/2013","Outer Richmond","(37.779419080393396, -122.47823551959873)"
"7159","1900 Block Of Golden Gate  Avenue","10/04/2012","Lone Mountain/USF","(37.778194385652576, -122.44268628052772)"
"7161","800 Block Of Potrero  Avenue","12/19/2016","Potrero Hill","(37.75856050998618, -122.40693363066751)"
"7162","2400 Block Of 18th  Avenue","09/25/2015","West of Twin Peaks","(37.74216544411357, -122.4745590249312)"
"7163","2000 Block Of Polk  Street","11/16/2016","Russian Hill","(37.795486373925286, -122.42167546122226)"
"7164","100 Block Of Taylor  Street","07/17/2015","Tenderloin","(37.783677661718556, -122.41085822364154)"
"7165","1200 Block Of Brussels  Street","04/16/2012","Visitacion Valley","(37.7169157588704, -122.40135320537075)"
"7167","300 Block Of Arballo  Drive","08/15/2019","Lakeshore","(37.72082977509336, -122.48299734208052)"
"7168","100 Block Of Brannan  Street","12/09/2021","Financial District/South Beach","(37.78428224781033, -122.38899182438585)"
"7169","0 Block Of San Felipe  Avenue","10/17/2016","West of Twin Peaks","(37.73144331171552, -122.46242392849918)"
"7170","100 Block Of Raymond  Avenue","01/22/2016","Visitacion Valley","(37.7129253195785, -122.40613357799866)"
"7171","1700 Block Of Golden Gate  Avenue","04/16/2018","Western Addition","(37.77861778839273, -122.43938280566259)"
"7173","800 Block Of Ofarrell  Street","06/08/2022","Tenderloin","(37.785063739731555, -122.41872463435661)"
"7174","300 Block Of Arballo  Drive","09/14/2018","Lakeshore","(37.7201216986585, -122.48303711665423)"
"7175","100 Block Of Leland  Avenue","05/21/2021","Visitacion Valley","(37.7121081124015, -122.40608036425871)"
"7177","800 Block Of 32nd  Avenue","07/18/2014","Outer Richmond","(37.77316072368271, -122.49175589769882)"
"7178","2600 Block Of Folsom  Street","07/27/2016","Mission","(37.7548991738697, -122.41431055584479)"
"7179","3300 Block Of 26th  Street","04/09/2015","Mission","(37.74909093609315, -122.41730824230062)"
"7180","3300 Block Of Divisadero  Street","11/21/2014","Marina","(37.8004430932994, -122.44294035638877)"
"7181","700 Block Of Grand View  Avenue","02/04/2014","Noe Valley","(37.74867173036116, -122.44255911563758)"
"7182","1900 Block Of Broderick  Street","02/21/2017","Pacific Heights","(37.78831816036281, -122.44220342700527)"
"7183","500 Block Of 02nd  Avenue","08/24/2012","Inner Richmond","(37.7783562452559, -122.4597925955644)"
"7184","300 Block Of Green  Street","01/12/2017","North Beach","(37.80006066190201, -122.40458219291605)"
"7185","1900 Block Of 18th  Avenue","06/18/2019","Inner Sunset","(37.751490519381285, -122.47521148415434)"
"7186","2300 Block Of Chestnut  Street","12/18/2015","Marina","(37.80008408554024, -122.44201173418566)"
"7187","1200 Block Of Brussels  Street","08/23/2016","Visitacion Valley","(37.7169157588704, -122.40135320537075)"
"7188","1000 Block Of Post  Street","07/22/2014","Tenderloin","(37.786932739257615, -122.41909946660869)"
"7189","1800 Block Of Clay  Street","03/03/2014","Pacific Heights","(37.79207000906617, -122.42351734214608)"
"7191","2100 Block Of Ellis  Street","04/11/2016","Western Addition","(37.781272761594295, -122.44106167076437)"
"7192","3700 Block Of 17th  Street","08/18/2022","Castro/Upper Market","(37.762821274225125, -122.42961773837064)"
"7193","0 Block Of Westbrook  Court","04/27/2022","Bayview Hunters Point","(37.734983854496306, -122.38243220563388)"
"7194","0 Block Of Langton  Street","09/08/2014","South of Market","(37.7769343969683, -122.40915322650832)"
"7195","3400 Block Of 20th  Street","01/30/2020","Mission","(37.758731252295235, -122.41741859444052)"
"7196","1500 Block Of Bay  Street","11/02/2018","Marina","(37.80316181244228, -122.4325036652468)"
"7197","2500 Block Of Mcallister  Street","07/16/2013","Lone Mountain/USF","(37.77563846719876, -122.4538640475852)"
"7198","2800 Block Of Santiago  Street","03/23/2015","Sunset/Parkside","(37.74395035786695, -122.49778432077943)"
"7199","3900 Block Of Mission  Street","04/01/2019","Bernal Heights","(37.73480594258376, -122.42522101984511)"
"7200","1200 Block Of Hampshire  Street","01/07/2013","Mission","(37.752108423087755, -122.40721509568765)"
"7201","5800 Block Of Mission  Street","09/05/2013","Excelsior","(37.70947805631916, -122.45069129707383)"
"7202","1500 Block Of California  Street","11/27/2017","Nob Hill","(37.79068315849374, -122.41986179850129)"
"7204","800 Block Of Fell  Street","09/30/2021","Hayes Valley","(37.77479774843489, -122.43183008289958)"
"7205","300 Block Of 30th  Avenue","10/27/2014","Outer Richmond","(37.78270768696109, -122.49029778169708)"
"7206","3800 Block Of Mission  Street","06/15/2017","Bernal Heights","(37.735715522134356, -122.42458441393619)"
"7208","1200 Block Of Chestnut  Street","04/18/2013","Russian Hill","(37.802385362710226, -122.42390953488389)"
"7209","3900 Block Of 25th  Street","11/10/2015","Noe Valley","(37.74999761302453, -122.42894463420926)"
"7211","100 Block Of Buchanan  Street","02/27/2013","Hayes Valley","(37.77112641375036, -122.42687519553435)"
"7212","500 Block Of Folsom  Street","05/19/2022","Financial District/South Beach","(37.786988279793036, -122.39487378689414)"
"7213","1000 Block Of Chestnut  Street","06/18/2014","Russian Hill","(37.80281087896871, -122.42063882404088)"
"7214","1200 Block Of Harrison  Street","03/14/2022","South of Market","(37.77329872973171, -122.4090996901884)"
"7215","1700 Block Of Golden Gate  Avenue","06/11/2015","Western Addition","(37.77861778839273, -122.43938280566259)"
"7217","200 Block Of 16th  Avenue","04/21/2014","Outer Richmond","(37.78338836389767, -122.47530317644154)"
"7219","1500 Block Of Dolores  Street","02/09/2017","Noe Valley","(37.74424140684124, -122.42434092860299)"
"7220","600 Block Of Church  Street","05/11/2015","Castro/Upper Market","(37.76009131642136, -122.42824027847462)"
"7221","600 Block Of 27th  Avenue","02/11/2016","Outer Richmond","(37.77713624689265, -122.48667029859294)"
"7222","900 Block Of Oak  Street","02/29/2012","Hayes Valley","(37.77344754710446, -122.43493025637245)"
"7224","200 Block Of Lisbon  Street","11/21/2016","Excelsior","(37.724328152160744, -122.43184273775559)"
"7225","300 Block Of Hale  Street","07/06/2015","Portola","(37.73113804644011, -122.41179995005803)"
"7227","400 Block Of Huron  Avenue","03/16/2012","Outer Mission","(37.71492354018921, -122.44592934196031)"
"7229","4400 Block Of Fulton  Street","12/20/2012","Golden Gate Park","(37.77279007544695, -122.47937076587905)"
"7231","600 Block Of Bush  Street","10/21/2013","Financial District/South Beach","(37.79021101781354, -122.40837826719323)"
"7233","0 Block Of France  Avenue","02/23/2015","Excelsior","(37.719832614553084, -122.43794407102146)"
"7234","100 Block Of Valley  Street","09/04/2015","Noe Valley","(37.74456670881756, -122.42560269892023)"
"7236","3400 Block Of Washington  Street","06/19/2018","Presidio Heights","(37.789622145430656, -122.44983340183771)"
"7238","600 Block Of Oak  Street","10/02/2020","Hayes Valley","(37.774076974081, -122.4300015298221)"
"7239","700 Block Of Clementina  Street","06/10/2020","South of Market","(37.77481400569879, -122.41139042779757)"
"7240","4100 Block Of 24th  Street","05/01/2015","Noe Valley","(37.75122848287922, -122.43519411572458)"
"7241","0 Block Of College  Avenue","07/25/2022","Bernal Heights","(37.735403045286446, -122.4264878131214)"
"7242","900 Block Of Hyde  Street","12/27/2021","Nob Hill","(37.789577657416075, -122.41711083907332)"
"7245","100 Block Of Eddy  Street","10/02/2013","Tenderloin","(37.78424514350671, -122.41013040140624)"
"7246","1000 Block Of Bush  Street","12/22/2017","Nob Hill","(37.789424585381944, -122.41455015776054)"
"7248","1000 Block Of Pierce  Street","05/02/2018","Western Addition","(37.77938993933743, -122.4352892241106)"
"7249","2200 Block Of 37th  Avenue","05/18/2016","Sunset/Parkside","(37.744998098268155, -122.49517440614926)"
"7251","100 Block Of Jackson  Street","05/06/2021","Financial District/South Beach","(37.79700924245061, -122.39892032571015)"
"7252","700 Block Of Gonzalez  Drive","05/11/2018","Lakeshore","(37.71746528654667, -122.48062777506037)"
"7253","0 Block Of Turk  Street","11/10/2021","Tenderloin","(37.78333200817521, -122.40984274169635)"
"7254","1400 Block Of Oak  Street","01/20/2015","Golden Gate Park","(37.77239980516658, -122.44320114239163)"
"7255","1400 Block Of Polk  Street","04/22/2015","Nob Hill","(37.79009934809927, -122.42059041293946)"
"7256","4400 Block Of Ulloa  Street","08/13/2018","Sunset/Parkside","(37.739930272627554, -122.50395413910914)"
"7257","0 Block Of 06th  Street","02/01/2022","South of Market","(37.7811846577752, -122.40897705869108)"
"7259","1300 Block Of South Van Ness  Avenue","04/08/2015","Mission","(37.751571938927405, -122.41618656584241)"
"7260","800 Block Of Russia  Avenue","06/06/2016","Excelsior","(37.718338881449064, -122.4303780255476)"
"7261","1100 Block Of Mission  Street","12/13/2012","South of Market","(37.77775137475284, -122.41278551996157)"
"7262","1800 Block Of Pacific  Avenue","08/20/2014","Pacific Heights","(37.79450242435726, -122.42569294766223)"
"7263","600 Block Of Russia  Avenue","09/26/2012","Excelsior","(37.719107283357324, -122.4319850219001)"
"7264","1000 Block Of Larkin  Street","06/12/2019","Nob Hill","(37.78726253166357, -122.4183179253846)"
"7265","2800 Block Of Geary  Boulevard","05/10/2016","Presidio Heights","(37.78225118869023, -122.4496155806604)"
"7266","600 Block Of Edinburgh  Street","11/09/2011","Excelsior","(37.71890292383052, -122.43376982737075)"
"7267","2900 Block Of Larkin  Street","05/30/2019","Russian Hill","(37.80503077582744, -122.42191106816934)"
"7268","400 Block Of Berry  Street","11/02/2017","Mission Bay","(37.77199459014189, -122.39815187886235)"
"7269","2300 Block Of Scott  Street","05/12/2014","Pacific Heights","(37.791407624189084, -122.43939854013279)"
"7270","1600 Block Of Valencia  Street","09/21/2016","Bernal Heights","(37.74598252670058, -122.42007473439112)"
"7271","200 Block Of 04th  Avenue","07/08/2020","Inner Richmond","(37.783972600378306, -122.46234753304054)"
"7274","1400 Block Of Quesada  Avenue","12/02/2016","Bayview Hunters Point","(37.730699280925954, -122.38679105973624)"
"7275","3700 Block Of 24th  Street","01/09/2012","Noe Valley","(37.75173801526264, -122.42688515175972)"
"7276","2300 Block Of 31st  Avenue","07/01/2019","Sunset/Parkside","(37.74341808375643, -122.4886124278653)"
"7277","1100 Block Of South Van Ness  Avenue","12/13/2012","Mission","(37.75476802429864, -122.41649006535464)"
"7278","2800 Block Of 24th  Street","12/15/2020","Mission","(37.75276730612843, -122.409598158885)"
"7279","2700 Block Of Sutter  Street","05/30/2019","Presidio Heights","(37.78452766489273, -122.44553928254415)"
"7282","200 Block Of Liberty  Street","09/26/2016","Castro/Upper Market","(37.75736096043572, -122.42682953378359)"
"7283","2700 Block Of San Bruno  Avenue","08/21/2014","Portola","(37.72703379157112, -122.40334759797176)"
"7284","300 Block Of Baltimore  Way","07/29/2016","Excelsior","(37.708747985240414, -122.43801364684742)"
"7285","300 Block Of Turk  Street","07/27/2021","Tenderloin","(37.78268974159542, -122.4148738201106)"
"7287","100 Block Of Geneva  Avenue","10/05/2011","Oceanview/Merced/Ingleside","(37.7218804278354, -122.44972935225057)"
"7288","0 Block Of 06th  Street","01/03/2022","South of Market","(37.78157622989487, -122.40946935271424)"
"7289","3800 Block Of Sacramento  Street","09/12/2016","Presidio Heights","(37.787032608973, -122.45605543557637)"
"7290","400 Block Of 25th  Avenue","01/23/2014","Outer Richmond","(37.78105903788214, -122.48480325881422)"
"7291","400 Block Of Oak  Street","12/15/2016","Hayes Valley","(37.7744936291242, -122.42671745907217)"
"7292","1000 Block Of Polk  Street","01/21/2015","Tenderloin","(37.786593238579954, -122.41988051964543)"
"7294","800 Block Of Hyde  Street","04/28/2022","Nob Hill","(37.788644032476626, -122.41692201622728)"
"7295","200 Block Of Sussex  Street","06/02/2014","Glen Park","(37.73649466158348, -122.43714284808912)"
"7296","3600 Block Of 18th  Street","12/08/2014","Mission","(37.76152841747014, -122.424412763605)"
"7297","1600 Block Of 23rd  Avenue","08/10/2012","Sunset/Parkside","(37.75684866269679, -122.48095325115843)"
"7298","500 Block Of Geary  Street","03/20/2015","Tenderloin","(37.78688710995548, -122.41192803581181)"
"7299","200 Block Of Linden  Street","08/21/2014","Hayes Valley","(37.77652078490424, -122.42205907796915)"
"7302","900 Block Of Sutter  Street","12/22/2011","Nob Hill","(37.78828291307771, -122.41600621287706)"
"7303","1000 Block Of Bush  Street","03/21/2013","Nob Hill","(37.789424585381944, -122.41455015776054)"
"7304","3300 Block Of 21st  Street","02/10/2017","Mission","(37.756835400796255, -122.42222407482264)"
"7305","500 Block Of 03rd  Avenue","03/07/2016","Inner Richmond","(37.778307502295085, -122.46086380350653)"
"7306","2000 Block Of Broadway  Street","10/27/2011","Pacific Heights","(37.79478960347494, -122.43081157235612)"
"7307","400 Block Of Ellis  Street","07/17/2014","Tenderloin","(37.78475315518628, -122.4136044753113)"
"7308","1800 Block Of 44th  Avenue","04/30/2013","Sunset/Parkside","(37.752124608633714, -122.50319792054322)"
"7309","300 Block Of Bartlett  Street","06/10/2016","Mission","(37.751372010798804, -122.41947852355283)"
"7310","200 Block Of Talbert  Street","06/24/2022","Visitacion Valley","(37.70879091823661, -122.4071180343103)"
"7312","2600 Block Of Alemany  Boulevard","08/03/2015","Outer Mission","(37.714217980544774, -122.44806947363985)"
"7313","1600 Block Of Market  Street","11/23/2016","Mission","(37.773257099866555, -122.4215709860551)"
"7314","1200 Block Of Florida  Street","11/19/2012","Mission","(37.75194203741594, -122.40999040337167)"
